system:index,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,centroid_lat,centroid_lon,deforestation,geometry_name,mean_agri_proba,mean_elevation,mean_logging_proba,mean_slope,year,.geo
16,0.5521146908407102,0.034959695521133455,0.06019408685382923,0.058278254396111215,0.2514946564505669,0.18591540180716246,0.08961660997891592,-6.801178164125249,-49.04040137190688,0.020308007169394498,donor16.0,175.27018647769452,151.24578569507898,8.87077905218626,2.6564916128878764,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6699925624835806,0.039013380396507924,0.06297980378180247,0.05856312849639395,0.2935078430665277,0.2086500789814394,0.10065736865129091,-8.32325846856932,-50.58218317402778,0.0029853631184715863,donor17.0,169.38860062009022,266.90146440215534,17.32220597921252,3.5401493088243283,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.7268672072221353,0.02803740086703512,0.05546897110084885,0.04824806592899597,0.3014328800984198,0.18854489387950144,0.08445675773708518,-2.4882107365893753,-47.62656480718901,0.00904630664777494,donor18.0,193.57191432814813,45.956229081535845,23.15367779254279,3.449373127538225,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,,,,,,,-4.3391700355201275,-47.5471450559683,0.0,donor19.0,192.73813431452982,198.3351909006477,15.357241178494832,5.488280734327813,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.6658743255692204,0.031089241416867388,0.05715392282211396,0.0577234056966804,0.2825370073050424,0.21373031384985874,0.10364899174298679,-5.64782049922331,-48.54104657261172,0.03164025057790576,donor20.0,204.4635784327189,164.0978754059736,19.121006949213054,3.542069149285081,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.5398116668782359,0.10207007885623254,0.1120655680271297,0.11208129466629067,0.28182069873543925,0.15139532052492743,0.07561769339699423,-1.8261182667831048,-49.02656522238162,5.430980994908624E-4,donor21.0,25.190499156016397,9.022104608955035,35.51571417088662,2.7302389584196,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.8434222532443699,0.020300790076285723,0.0373610748767963,0.024501321838332483,0.2911262072847207,0.1329208571227302,0.049793589895297544,-3.4718435047320466,-48.712651200398675,1.4931434851163458E-5,donor22.0,61.30409033043672,98.62716339810409,109.7706868876958,3.657441880785309,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.5293605840856895,0.09634357983234382,0.11441738480461384,0.11410846768300313,0.3250712128970235,0.23674916577033647,0.13094920866864285,-7.714181960197409,-50.64960550827332,0.023858076209620434,donor23.0,209.49048446401866,400.583341414715,7.713321750373751,4.474525050953989,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.8569345813780959,0.021363386254453998,0.03798976241144942,0.024951746802901232,0.30990407369754974,0.14749122016085034,0.05649947941705832,-4.87473769107967,-50.88743686650187,0.0035850654304952555,donor24.0,210.57406956247573,213.90771724117394,7.158973330084982,5.651388958218502,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.639002329479038,0.11189790265398532,0.11559521968698294,0.11274766497075156,0.30972969173987247,0.17758959370129568,0.08475215603323216,-1.118155964178001,-54.08514646399513,5.683211792365353E-5,donor25.0,156.34295191896135,385.2203619381374,19.650253245826793,8.18631329409971,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.7470722958106902,0.05149871723474508,0.06751369464846974,0.05704044938472886,0.33723094320493185,0.1701228174141069,0.07749349380496916,-1.6586930871037477,-48.269287032565735,0.019955922461812135,donor26.0,124.09047001534954,30.380135323570084,6.423225533266285,3.9938830233606297,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.7063938034219153,0.07124095793181334,0.08272501668380318,0.07452888978010605,0.33278820030415546,0.1822232999109152,0.08170313729522752,-5.478071989224218,-51.01074902601111,0.0320875321129521,donor27.0,215.84582898992326,227.88624238456086,6.306377462379384,5.115759365107739,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.6396894641473403,0.04086717901574247,0.06831131254080806,0.06797925941751226,0.29644938962330797,0.22167532717023505,0.10975102244914733,-6.504587921375225,-50.21553291342702,0.021761197664444294,donor28.0,198.65797889987394,267.73243540314803,6.231915599495721,4.351665607051026,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.8058114434409852,0.031117250784505533,0.043031319064337534,0.033584150068096126,0.2837114123190068,0.13415613702753287,0.05412324687312926,-8.485804667604008,-56.32675982956564,1.4795832309954931E-5,donor29.0,14.988901018922853,499.6405931527233,73.65520378457059,3.437964376047013,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.7390788117782008,0.03148402561746994,0.056200711882761614,0.04807140539521003,0.30481970980842255,0.1813946333986412,0.08079346872808815,-2.3902380640250978,-47.670109643998714,0.006826730381269511,donor30.0,196.5633793522158,48.051898960376356,14.18142702531478,3.9925571226569696,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.7399857418544762,0.04141538713260295,0.06065049332142943,0.05223823971063448,0.2957492236512054,0.17082627007853107,0.07689955519298616,-1.6183363747861972,-53.87364274332605,0.015176344275564285,donor31.0,197.2960298219546,153.63933244893298,8.380555772790071,5.1948888306606875,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.7755694175692307,0.028117521855179097,0.04475538840659889,0.036541881519902765,0.27813005078269853,0.14722468881509398,0.06237363947685268,-8.163941054442066,-54.92097594804055,0.007216941499800271,donor32.0,151.99656712180263,333.07576043133963,5.301990036909893,7.409709709181917,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-0.04255615560102656,0.09837563735853125,0.11617619125794068,0.12479276991857297,0.1338627100522516,0.08206618413034018,0.04733500367763092,-2.2587211571385133,-54.08965027345101,1.9351630688776552E-4,donor33.0,66.84458099951057,5.056838898288381,4.951275218880851,1.1301903779012328,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.7816537095325328,0.031108800758036664,0.052634407550585065,0.04267310114555139,0.32073761013439916,0.18722979112773133,0.07985895547042042,-2.735434336542846,-54.77766691691045,0.019354444784309043,donor34.0,215.56112174853135,116.67676480802272,6.671030179880947,4.050309327044847,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.757387823555072,0.027138872867948208,0.04280671421010692,0.029848590376842905,0.2798488726542795,0.13232132089313983,0.05107569785046945,-8.326258132844337,-52.63538872207029,3.319392534797288E-4,donor35.0,19.13404029692471,269.18742282836354,57.51622481442206,4.063222716896419,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.7222575689410828,0.04897755421137609,0.062048003051447566,0.05490488097879885,0.2895569943366049,0.14702410886875494,0.06711039750115612,-6.271612510918273,-58.14543652861151,1.1895521633493032E-5,donor36.0,161.0222933808926,120.52811265040299,24.743180252117877,5.555145112136074,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.8168294581783442,0.01926125713058777,0.03805065278316641,0.027073250933444534,0.26116606992261876,0.13162611542689948,0.05041821394510688,-9.415126598306278,-55.257249403964,2.9515415901725473E-6,donor37.0,12.605304299274145,426.73365661812096,29.10999441652708,3.5032011719821154,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.787911387611947,0.03704074214994673,0.051463939877542934,0.04187581054800205,0.2857177671435359,0.14127961432485198,0.0590248640583725,-1.2139181676596122,-53.50964670238618,0.0038626471497336333,donor38.0,137.34496249850503,204.0526980142344,26.568792605627788,7.549812152667422,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.8440491986478136,0.029260537983280425,0.04280080937604749,0.0328959962846716,0.3135664767809203,0.14379776512164302,0.052824344937380995,-2.979723148698534,-53.92295343417545,2.1811358638493164E-4,donor39.0,131.07941035271523,179.61078716400127,24.969811640450693,4.191204745843754,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.7234939428449026,0.04022698716188511,0.05597704564702319,0.04683446632143468,0.2735900249780034,0.1494007003986229,0.06483561537914678,-1.4595108430543104,-54.91615157154626,0.0023747285810847185,donor40.0,106.5203533401247,90.29212521813493,13.141838429227308,5.750200560769073,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.7008748672470724,0.031424042871095126,0.057224125528594134,0.05259020135764796,0.2895557900200001,0.19524683703907705,0.09206263104977036,-6.4633841362254385,-50.1125209713228,0.022973779170725753,donor41.0,157.17927167172456,256.6041399482402,5.737617099881254,5.128373470002356,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.6516221292786626,0.04701424850111394,0.06387376026014212,0.05456311645380841,0.2744276777796212,0.15172890674374076,0.06625692700901076,-4.282173159308725,-55.86483795153785,0.012148391773094954,donor42.0,178.08782769372905,50.64572605329923,9.499480309504563,6.564861722201485,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.7781877887514591,0.049146231175041376,0.061444718539041814,0.05176849856189186,0.3037012212656184,0.15037168530551587,0.062228895304372034,-4.8719291260920405,-55.9602541842165,0.005962926873063355,donor43.0,217.0442978059918,195.63215988718437,6.596377658982068,10.098572282213205,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.7681370592931948,0.04076852175325966,0.058812776374987656,0.05072565178050178,0.3083740621739211,0.17413264881179832,0.07848040137222405,-0.8790951293807421,-52.756859386727626,0.04120875479057324,donor44.0,75.98552295321053,72.17159924837598,90.41434859979394,5.428043709635184,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.7448232982596794,0.04760894635524642,0.06093364681515035,0.05318829765415041,0.29916921266595464,0.1498276104659179,0.06936231161881541,-3.0233537355568014,-51.110571577795184,3.1968258805462686E-4,donor45.0,193.1197736072022,71.38964033188049,17.270349696017906,5.410509960753396,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.7786605955651991,0.02661145033856766,0.043383575697481525,0.03106053396737303,0.26636733497372767,0.1295214005241071,0.04978384947275674,-9.481304657251464,-52.063025471763225,8.262389896277499E-5,donor46.0,93.24928912391758,293.0087615579067,7.932810951994955,4.79973448512985,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.7227541212530744,0.02889578061627192,0.0525014341137365,0.04828814996763222,0.29462985421916044,0.2001770215113903,0.09335097549331034,-5.540645992760834,-48.954798410391135,0.007090162632615463,donor47.0,206.30412738651668,124.65291247379892,8.104795479151813,3.9710989981586122,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.7599494854679024,0.05292546871553124,0.0614587639291853,0.05390447566402127,0.29239610549284595,0.14532632474841772,0.058913725717921625,-6.779084119614551,-55.3372291645469,0.017407455433198528,donor48.0,181.25234044206195,274.10665136905175,9.106902847375986,7.301842344122934,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.7568016003357535,0.035442228278315696,0.05685215855574647,0.04736229494364221,0.30961337527219596,0.17041436309054597,0.07486741083147888,-5.377127433831795,-50.11494427389997,0.05172417820962442,donor49.0,224.2019044145424,167.19189935560897,4.381286717294741,5.346815445080979,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.6223239172763327,0.08874317068634584,0.10533723597976391,0.10080939125650092,0.3095418487374556,0.21933644101123384,0.10322689071424059,-1.6356389791840489,-54.12108891818599,0.022580409091820665,donor50.0,220.84167785497357,139.19705455257392,4.733474979469998,3.312556459565361,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.8426101524151772,0.019710408879293206,0.03566907002514548,0.02366062856008004,0.27695817697915665,0.13358371897304008,0.0496244071677256,-8.94207116805501,-56.46134956045762,3.8420957745812855E-5,donor51.0,19.065278999315943,235.76806748087958,96.38063129092153,3.7242428252592235,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.671102878073495,0.06240249274873178,0.07331480704080999,0.07033458037925518,0.2847738689029567,0.15822492412593422,0.0748949990659542,-6.224344016976348,-57.85429440620879,0.017152127452613245,donor52.0,169.19139345214586,134.84999405335736,20.305039849431886,6.8502071574058006,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.8346510017430472,0.024887862128260517,0.04247544988541005,0.030895106480031524,0.30295765200325303,0.1491696175774061,0.059367487662173674,-0.9087362504691644,-52.942625241937414,0.013917013410965576,donor53.0,50.03329494982728,112.56761315755084,108.83063003783512,7.324676669040465,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,,,,,,,,-2.7857028692091217,-53.40440837953848,0.0,donor54.0,34.83109275456215,139.9980399467567,150.85395745599826,5.228845184024385,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.7745950341936891,0.023690815987869384,0.04581506182473136,0.03650857171796249,0.2878649644340475,0.15713701850964057,0.06601913108774099,-5.585277351183621,-49.79723417743792,0.021197615236758057,donor55.0,206.36098623789968,153.5901090689101,7.198254226536862,5.490918693204866,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.8555711152643357,0.02013388996379356,0.03610841570115025,0.02478178150984377,0.30580586366301915,0.14698836561978681,0.05575600551978048,-9.289546342842586,-56.36165322036433,2.9525873522968178E-5,donor56.0,159.4864150825412,264.63118197095105,16.810123811905953,4.941865822469598,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.6002356566154284,0.037656873918384584,0.06631443540101505,0.07097658140277564,0.2821735797045114,0.24581442559018238,0.12413507644065505,-6.2917699937266,-48.829210177558686,0.004076938663354718,donor57.0,217.3203548850797,177.288395630161,6.6309720698023105,3.2514952330132734,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.5800591284651339,0.20503444227288112,0.1936997887445877,0.2069676275252861,0.37997276564318544,0.27277678913165926,0.14121722016495375,-3.5174849295999766,-53.27964125504765,0.02663918335296427,donor58.0,206.12029855503621,170.27689829806974,7.096419464513388,7.146897613703583,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.44433664596910694,0.19295196317766822,0.19317263143149782,0.2065749773137644,0.3560997428995207,0.30690297281147577,0.17761616412874073,-1.0573023096021337,-46.94471276516487,0.006807441105559011,donor59.0,200.27326585695008,17.40156694451682,5.257786774628881,2.704880318838976,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.820156941001262,0.027640968775324237,0.047470056004128944,0.03319154400865042,0.32056318599449385,0.1380419334268495,0.05391548756999237,-1.4823650409862374,-50.96266499364269,3.858163155439113E-4,donor60.0,14.272476692338875,15.172036466991429,85.57032833400893,2.854710156303583,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.8371606784860959,0.025309753278761463,0.04145405834620722,0.027289677144819346,0.3068615252463897,0.14909254894511026,0.05730363633772408,-8.663584050383767,-51.353685795844626,0.004917796150785167,donor61.0,133.97227842041048,320.59183424237136,11.972494633287518,4.2496101060873155,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.8624586133587363,0.01753445575023186,0.032095561108464794,0.020715288137537008,0.28251689786066614,0.13019360553372666,0.04747311298709294,-8.038572403920924,-55.37803310702823,6.961766570485664E-4,donor62.0,211.70141663639663,262.8849017698883,6.082078292212692,4.191398828346395,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.8570988522884617,0.016872593446388282,0.032145127366018655,0.02180080714929819,0.2812071206347862,0.13078678833512647,0.0482090498712526,-7.887268141443557,-55.059351778985935,0.0010387192263406394,donor63.0,161.8140951927779,289.2031065981465,7.050623207370104,5.297762262513994,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.6353308837635712,0.028597812095685193,0.051762496727809956,0.04710559444397013,0.2570745624957,0.17237404221103503,0.07949567108112882,-7.063066019934936,-49.23518161885276,0.006990818762650684,donor64.0,178.72488955165642,164.72898636340904,8.079160453221471,3.489838604910942,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.46550308310122,0.15460386591598393,0.15197664895899196,0.15495845204730885,0.3364971844232119,0.22192374239624524,0.11714304866531763,-6.983082683367787,-50.89626798152734,0.013037497028086828,donor65.0,137.51676254180606,480.4776132666858,5.846033444816051,12.922022389877663,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.8189479454191139,0.025894770295822166,0.04346883579086057,0.03087429137106275,0.29713904252444556,0.13617677885634794,0.05361939274574818,-1.5128862315201284,-51.082265847933535,6.548360350172434E-4,donor66.0,19.61618716408473,21.64727954311713,84.77461622229248,3.298777812042188,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.8425037995820797,0.019226343973894947,0.03608409836578452,0.02374731181461984,0.27495243886847665,0.12593249873856815,0.04669147025977643,-3.0014143819887367,-50.54796234661259,0.0016671646250373468,donor67.0,169.1179873289871,71.3902344880238,31.176586172068685,5.431988748333534,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.7421553562305485,0.04028617090268889,0.05583965809934901,0.04634304355378801,0.2748583601101325,0.1469396523734922,0.061580318011238595,-1.5364063015487122,-55.41792481322117,0.010576328295378013,donor68.0,222.38751436534884,82.78809489188224,4.823177417011214,4.671848801183567,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.8694644628776206,0.01563086096940193,0.031150492560039173,0.020100552189770658,0.28755508177183653,0.13108106331358485,0.04777504964505888,-9.339459550142644,-55.806562925839415,0.0058539376227903245,donor69.0,154.56287836789002,319.2259219646961,45.077480873711075,4.030786297093592,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.7759697103574621,0.03143698286292449,0.04737856158591455,0.038118067719320727,0.2875393581325626,0.14674084900382017,0.0619604655153264,-8.18726400081745,-54.89169642028838,0.018300038135264523,donor70.0,144.57883801362792,329.308512050403,5.592530456328723,6.995603420308323,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.45879562488143993,0.08339888282492733,0.09249678865062926,0.09244409879135156,0.22857523850591135,0.14420048586264134,0.0731956788752951,-2.16532138570721,-49.30811605979055,0.0021383584751637407,donor71.0,60.339182870245,8.642234364087052,10.074617703876218,2.63434289187559,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.5105974423482582,0.09056636232016795,0.10996137950218458,0.11249515786636612,0.31539846516295456,0.249202646696544,0.1310277016753045,-6.553083723215709,-51.247637331732186,0.02012466565784869,donor72.0,178.38747286741096,264.1317252445458,9.52046479587195,5.304381144063664,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.7063455415871185,0.0333888894729684,0.055002982596850755,0.0497387075632428,0.278527087897468,0.18034440833881002,0.08329785167793866,-9.67862944145867,-50.34151062355839,0.0018153566291725883,donor73.0,164.5414235136125,187.74810673016663,15.965425466975944,2.2478173857945563,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.6425610957567467,0.03452439424843989,0.04999476249110634,0.037344052156017944,0.24262637648159652,0.1211935047352582,0.049366491508065324,-4.99842100657511,-56.8416422897181,9.149921614678025E-4,donor74.0,53.65283113938401,98.8782691231626,42.02097373559237,9.109811630369126,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.2380099840827369,0.6009315151242264,0.5233340563244401,0.56473096425276,0.48369524682483245,0.4407270159564343,0.24463206722246036,-3.419313133423567,-53.476792163644156,0.06710857312142933,donor75.0,193.14969566674102,102.91932123701208,11.28435615367433,7.95126189345639,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,,,,,,,,-3.0181545637757226,-46.785344350134295,0.0,donor76.0,118.47648472365256,98.03430086346269,22.22230804439867,4.309932768108205,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.6530730817393156,0.0590581394713266,0.07088551669174117,0.06231544923030949,0.2840558386114158,0.16086200913657525,0.07335615824814323,-1.3124149101614084,-56.160729776866916,0.0032684430471936927,donor77.0,44.970153633695844,37.29001355027131,86.64810978767477,5.355471640155698,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.6571704460740717,0.08419147903192162,0.0929270168917879,0.0898239331724201,0.30436923757140155,0.17192740296617884,0.08447726412484684,-3.814658778293035,-50.98133410075945,0.02021615653121237,donor78.0,204.3033866819091,159.46598473591217,8.145827379251212,7.993911376863753,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.8087947356856084,0.026199352994980236,0.04439617057630718,0.03247107621853347,0.30396513496413474,0.1631066702244919,0.06704568339634948,-8.899843337990113,-51.578294798108196,1.4779038593981384E-5,donor79.0,132.4434091207781,395.6518892680194,8.906163753449867,7.393146341815989,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.6204909904310096,0.07420718123758763,0.0901411427043397,0.08807444130413745,0.31871887171754576,0.19618367648822901,0.10174433160499409,-1.3314652877473276,-48.301900087413145,0.00973858985064137,donor80.0,76.30115781874726,18.570582334385925,11.918300199911155,3.381051698601577,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.5692259643840565,0.06303840226056726,0.08373715416705384,0.08215008304188909,0.27745283896287437,0.20889051631234845,0.10394724926325721,-7.807037907276613,-50.15328832436783,0.01822283362334204,donor81.0,190.6470475798389,224.64050176744237,12.0693554078692,2.8107018185500654,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.83183726956041,0.021356810925148156,0.042373694961415395,0.0295504504914974,0.3143386650029941,0.1552986669209538,0.06153273816566928,-4.785526866506376,-50.51115049050843,0.0027624426632152804,donor82.0,218.52412458068707,198.98216352403315,5.926214184378359,5.674644049620838,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0.5960757275364632,0.053027850447153836,0.07856342942097083,0.08021458739013652,0.29397166940655994,0.23169104351750192,0.11609544403177961,-6.608922712538958,-50.28363482504813,0.011252604602326995,donor83.0,218.08694256440424,282.4802184176812,5.098873759396484,4.090692266659651,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.13568004012841242,0.06869518858888302,0.07966908314710258,0.07799297502134465,0.14114151408953593,0.07994565744790519,0.04484617062383877,-1.968154803300127,-49.27285289672791,8.156767059043983E-5,donor84.0,22.585525213603614,4.482175332252515,48.00586362874852,1.5009910550421384,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
