"system.index","B1","B2","B3","B4","B5","B7","B8","NDVI","date","gain","loss","lossyear","treecover2000",".geo","time","treatment","new_index","yearly_loss"
"15_0",0.087342404,0.06960766,0.03811121,0.3134606,0.12676756,0.039060123,0.16052164,0.7831953,"2007-01-01",0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}",2007,"0","15_0_treated",0
"15_0",0.14183529,0.129396,0.104569435,0.30546808,0.1176691,0.046375435,0.20919846,0.48995188,"2008-01-01",0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}",2008,"0","15_0_treated",0
"15_0",0.0842003,0.06830019,0.039656606,0.34350377,0.13985911,0.04313534,0.17052372,0.7930026,"2009-01-01",0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}",2009,"0","15_0_treated",0
"15_0",0.10194515,0.08358462,0.057324097,0.30860248,0.14249256,0.045126583,0.16598058,0.68669075,"2010-01-01",0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}",2010,"0","15_0_treated",0
"15_0",0.09747242,0.08084359,0.049882136,0.3553355,0.15412873,0.05099507,0.19003974,0.75380075,"2011-01-01",0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}",2011,"0","15_0_treated",0
"15_0",0.17019632,0.15698707,0.14098433,0.34110126,0.23722988,0.15216029,0.24395578,0.41510665,"2012-01-01",0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}",2012,"1","15_0_treated",0
"15_0",0.091973245,0.07549754,0.048736244,0.3408832,0.1164402,0.035301346,0.17286922,0.74982643,"2013-01-01",0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}",2013,"1","15_0_treated",0
"15_0",0.08840716,0.06799733,0.03792445,0.3071124,0.12943542,0.04160183,0.14741601,0.7801716,"2014-01-01",0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}",2014,"1","15_0_treated",0
"15_0",0.09881975,0.083161525,0.055450324,0.33773822,0.15961713,0.054311268,0.18376818,0.7179454,"2015-01-01",0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}",2015,"1","15_0_treated",0
"17_0",0.13228983,0.115333386,0.094225034,0.27455428,0.14852296,0.07779797,0.18920514,0.4889896,"2001-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2001,"0","17_0_treated",0
"17_0",0.085101165,0.06411354,0.04117082,0.21270466,0.10519503,0.03486956,0.14576805,0.6756613,"2002-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2002,"0","17_0_treated",0
"17_0",0.086468786,0.06858536,0.043532908,0.2787001,0.13446897,0.045686573,0.1348756,0.7298048,"2003-01-01",0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}",2003,"0","17_0_treated",0
