system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
6_0,0.089914635,0.07286541,0.04533502,0.26963317,0.10958822,0.032688573,0.15191309,0.71212953,2010-01-01,0,1,21,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83309258120028,-2.1622898046398946]}"
7_0,0.1093625,0.09366313,0.07972272,0.23239261,0.20097715,0.08859499,0.14976378,0.48914576,2010-01-01,0,1,23,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.81153301438141,-1.9744520787305024]}"
11_0,0.106116846,0.08999827,0.06142442,0.2961807,0.16699913,0.06103261,0.17317615,0.6564679,2010-01-01,0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}"
15_0,0.10194515,0.08358462,0.057324097,0.30860248,0.14249256,0.045126583,0.16598058,0.68669075,2010-01-01,0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}"
17_0,0.10280836,0.08332805,0.054302,0.3163892,0.14471905,0.048293628,0.17343134,0.70702296,2010-01-01,0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}"
19_0,0.1282905,0.11411905,0.09388153,0.33760688,0.22344746,0.109658085,0.1974057,0.56484795,2010-01-01,0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}"
22_0,0.10470787,0.083200246,0.05447985,0.29398623,0.13860846,0.046602055,0.16232981,0.6873162,2010-01-01,0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}"
23_0,0.11528584,0.10335993,0.09843334,0.27038953,0.27958995,0.15252583,0.17590556,0.46622974,2010-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}"
35_0,0.101600625,0.08824906,0.07194834,0.27014226,0.22344083,0.11426135,0.16137022,0.5793609,2010-01-01,0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}"
36_0,0.09595372,0.08551819,0.054887645,0.3388131,0.15433674,0.052194618,0.1832255,0.7211707,2010-01-01,0,1,7,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83686550539358,-2.0267340282662585]}"
37_0,0.09800838,0.085369706,0.057073973,0.27886692,0.15101825,0.05431109,0.1665606,0.6602142,2010-01-01,0,1,19,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.81153301438141,-2.1207876385135727]}"
44_0,0.10374848,0.09493297,0.06746794,0.31835493,0.18919986,0.076906696,0.18196216,0.6502647,2010-01-01,0,1,16,93,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83659601080835,-2.057995400153618]}"
52_0,0.08584286,0.070886426,0.044333994,0.30630246,0.13530053,0.042821553,0.16381529,0.7471227,2010-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.777846191226935,-1.9485805985478601]}"
54_0,0.09446649,0.080225475,0.05254442,0.30104446,0.1460871,0.047100283,0.17129743,0.7027937,2010-01-01,0,1,11,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88591351990651,-2.1264470248035257]}"
55_0,0.118060805,0.104266,0.09214106,0.2535209,0.2526991,0.13186009,0.16952084,0.46687186,2010-01-01,0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.808838068529056,-2.0838668803362603]}"
56_0,0.10449481,0.09519813,0.07613297,0.31897843,0.1958947,0.076134756,0.18688309,0.6146253,2010-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.808838068529056,-2.0499105625965424]}"
58_0,0.10609893,0.08842795,0.061904285,0.34237722,0.17254318,0.059727646,0.18302627,0.6937565,2010-01-01,0,1,10,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.86758788811047,-2.0906042449671567]}"
