system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
6_0,0.07813143,0.05971903,0.034875758,0.24657546,0.104814105,0.03089608,0.13642848,0.75217193,2013-01-01,0,1,21,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83309258120028,-2.1622898046398946]}"
15_0,0.091973245,0.07549754,0.048736244,0.3408832,0.1164402,0.035301346,0.17286922,0.74982643,2013-01-01,0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}"
19_0,0.110918224,0.097607255,0.08549784,0.29487464,0.24941006,0.11456087,0.17638327,0.550452,2013-01-01,0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}"
22_0,0.2605078,0.2557793,0.2566422,0.45858416,0.37457466,0.25276515,0.3964478,0.28234693,2013-01-01,0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}"
23_0,0.2115756,0.22218442,0.20122948,0.5230539,0.13736716,0.041909248,0.32679823,0.44433492,2013-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}"
35_0,0.11894639,0.083445445,0.066142306,0.20807117,0.18908751,0.09819921,0.1418881,0.5175853,2013-01-01,0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}"
36_0,0.17441733,0.15588947,0.13725671,0.36333203,0.13271672,0.03750398,0.23785698,0.45161888,2013-01-01,0,1,7,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83686550539358,-2.0267340282662585]}"
37_0,0.10627282,0.089824006,0.06368264,0.302743,0.15613358,0.061396107,0.1767587,0.65241164,2013-01-01,0,1,19,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.81153301438141,-2.1207876385135727]}"
44_0,0.103590876,0.07652022,0.051639497,0.14505222,0.07170369,0.03295128,0.09848533,0.47491947,2013-01-01,0,1,16,93,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83659601080835,-2.057995400153618]}"
52_0,0.21932879,0.22327073,0.20376424,0.40152395,0.2961722,0.1910758,0.3062546,0.3267199,2013-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.777846191226935,-1.9485805985478601]}"
54_0,0.1882605,0.18551338,0.16418882,0.39795798,0.26852018,0.16531435,0.28125742,0.41585073,2013-01-01,0,1,11,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88591351990651,-2.1264470248035257]}"
55_0,0.07969285,0.05971903,0.038204037,0.33155242,0.13736716,0.03750398,0.13571714,0.79335564,2013-01-01,0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.808838068529056,-2.0838668803362603]}"
56_0,0.13722153,0.12521447,0.10909554,0.33652923,0.21586566,0.10887619,0.21192037,0.5103704,2013-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.808838068529056,-2.0499105625965424]}"
66_0,0.12153819,0.115543984,0.08577554,0.38962775,0.20752406,0.08931179,0.22602235,0.6391462,2013-01-01,0,1,10,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83120611910363,-2.0024795155950317]}"
71_0,0.14908987,0.13879664,0.124952905,0.35103884,0.22428726,0.11766423,0.21813165,0.4749787,2013-01-01,0,1,16,93,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79078193131825,-2.0994975662799398]}"
