system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
6_0,0.09180428,0.072664894,0.047768973,0.26594168,0.114029765,0.04133484,0.15334757,0.6954584,2008-01-01,0,1,21,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83309258120028,-2.1622898046398946]}"
7_0,0.109727316,0.100494444,0.08784379,0.23685083,0.18698704,0.08680129,0.1585114,0.4589144,2008-01-01,0,1,23,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.81153301438141,-1.9744520787305024]}"
11_0,0.0872548,0.07611709,0.047936283,0.30289376,0.15912847,0.05769996,0.17230546,0.7267265,2008-01-01,0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}"
15_0,0.14183529,0.129396,0.104569435,0.30546808,0.1176691,0.046375435,0.20919846,0.48995188,2008-01-01,0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}"
17_0,0.16399711,0.15768094,0.13509923,0.3043489,0.19578287,0.11466074,0.2176396,0.38514137,2008-01-01,0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}"
19_0,0.095028065,0.07951312,0.052106734,0.33475944,0.16472292,0.05873583,0.18243183,0.7306214,2008-01-01,0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}"
22_0,0.15564232,0.14749746,0.13199954,0.32910502,0.20036998,0.11579335,0.20966402,0.42746374,2008-01-01,0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}"
23_0,0.15723541,0.14534396,0.1377092,0.2822503,0.26524237,0.14699897,0.21071404,0.34417865,2008-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}"
35_0,0.09760103,0.08020892,0.05472655,0.30731344,0.13389696,0.049768686,0.2318696,0.6976768,2008-01-01,0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}"
36_0,0.16709821,0.15862003,0.13941355,0.36263847,0.25182647,0.12831324,0.2426159,0.44462508,2008-01-01,0,1,7,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83686550539358,-2.0267340282662585]}"
37_0,0.12823376,0.11040506,0.10413902,0.21886387,0.24499018,0.14748664,0.15986273,0.3551821,2008-01-01,0,1,19,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.81153301438141,-2.1207876385135727]}"
44_0,0.10637073,0.09722377,0.0743547,0.30167562,0.21071768,0.096167535,0.22659557,0.6045282,2008-01-01,0,1,16,93,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83659601080835,-2.057995400153618]}"
52_0,0.12589104,0.11439341,0.09122794,0.32212785,0.17265402,0.08228339,0.18639755,0.55859846,2008-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.777846191226935,-1.9485805985478601]}"
54_0,0.13807568,0.12146123,0.1009127,0.28245562,0.1742742,0.08875028,0.18872112,0.473547,2008-01-01,0,1,11,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88591351990651,-2.1264470248035257]}"
55_0,0.1778324,0.17690933,0.16613047,0.3498712,0.26670384,0.12628093,0.25967497,0.3560855,2008-01-01,0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.808838068529056,-2.0838668803362603]}"
56_0,0.10982494,0.09768312,0.07655495,0.2874335,0.19691104,0.089004435,0.17753838,0.57935506,2008-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.808838068529056,-2.0499105625965424]}"
58_0,0.08866194,0.0788841,0.051972408,0.35310683,0.17336923,0.05918341,0.18242082,0.74339634,2008-01-01,0,1,10,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.86758788811047,-2.0906042449671567]}"
59_0,0.084214024,0.07530342,0.04631927,0.34162652,0.16661699,0.056713115,0.18189228,0.7612075,2008-01-01,0,1,9,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.786200523369246,-2.0043659776916827]}"
64_0,0.10725861,0.09741749,0.07646002,0.28688282,0.20480332,0.08997684,0.16108835,0.5791302,2008-01-01,0,1,22,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.80991604687,-2.081710923654373]}"
