system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
6_0,0.08371757,0.06329569,0.0365531,0.23763481,0.10482602,0.031934716,0.13510115,0.7333719,2003-01-01,0,1,21,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83309258120028,-2.1622898046398946]}"
7_0,0.10051815,0.076841384,0.06075038,0.1734288,0.12773894,0.056651894,0.11560886,0.48116326,2003-01-01,0,1,23,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.81153301438141,-1.9744520787305024]}"
11_0,0.08149378,0.059206046,0.034565482,0.18182534,0.079746984,0.027096085,0.09884563,0.68052727,2003-01-01,0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}"
15_0,0.094566666,0.07705355,0.050605737,0.30066526,0.14142169,0.05282674,0.16366087,0.7118707,2003-01-01,0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}"
17_0,0.086468786,0.06858536,0.043532908,0.2787001,0.13446897,0.045686573,0.1348756,0.7298048,2003-01-01,0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}"
19_0,0.08302079,0.059654288,0.035186596,0.24492745,0.10087629,0.030543905,0.12630902,0.7487695,2003-01-01,0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}"
22_0,0.08772078,0.06794969,0.043969106,0.24527813,0.10892679,0.0355642,0.1386778,0.6959756,2003-01-01,0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}"
23_0,0.10751336,0.10618351,0.07557563,0.36728597,0.18939053,0.08043407,0.20974182,0.65869415,2003-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}"
35_0,0.083335005,0.06594066,0.039358214,0.31143507,0.1337637,0.04027754,0.15575692,0.77560455,2003-01-01,0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}"
36_0,0.10159788,0.085787185,0.060610212,0.33288732,0.16385461,0.06933871,0.18832968,0.6919411,2003-01-01,0,1,7,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83686550539358,-2.0267340282662585]}"
