system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
6_0,0.0846301,0.0650533,0.03863953,0.25086752,0.112204194,0.035757337,0.1408049,0.73306674,2002-01-01,0,1,21,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83309258120028,-2.1622898046398946]}"
7_0,0.098681845,0.08777012,0.077105194,0.22492446,0.20385684,0.09461522,0.14563842,0.4894197,2002-01-01,0,1,23,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.81153301438141,-1.9744520787305024]}"
11_0,0.08630558,0.06618988,0.040372513,0.25219524,0.11860935,0.03890096,0.14039528,0.72401255,2002-01-01,0,1,15,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88564402532128,-2.1321064110934786]}"
15_0,0.08606094,0.06748376,0.040059354,0.30295426,0.13876806,0.043564335,0.15525667,0.76642704,2002-01-01,0,1,21,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.84117741875736,-2.1148587576383835]}"
17_0,0.085101165,0.06411354,0.04117082,0.21270466,0.10519503,0.03486956,0.14576805,0.6756613,2002-01-01,0,1,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.72340828500929,-1.9612468440539454]}"
19_0,0.08568936,0.06643648,0.040656712,0.2857333,0.12374303,0.04063483,0.13945206,0.75087035,2002-01-01,0,1,5,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.79132092048872,-2.115667241394091]}"
22_0,0.09111969,0.075595185,0.0483201,0.27297962,0.1272314,0.044872336,0.16130356,0.699221,2002-01-01,0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.069314172733524]}"
23_0,0.08990053,0.073633395,0.056406792,0.27329403,0.17975989,0.07507448,0.15107407,0.6578304,2002-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.827163700325094,-2.0191881798796545]}"
35_0,0.08651861,0.069638014,0.041904256,0.34207156,0.14161438,0.046692595,0.17591812,0.78173494,2002-01-01,0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.721521822912635,-1.9404957609907845]}"
36_0,0.097957976,0.087001644,0.060177423,0.33279958,0.1675993,0.06258581,0.1807082,0.69373566,2002-01-01,0,1,7,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83686550539358,-2.0267340282662585]}"
37_0,0.09033372,0.08498435,0.05253675,0.333464,0.17863435,0.06474246,0.18203619,0.7277894,2002-01-01,0,1,19,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.81153301438141,-2.1207876385135727]}"
44_0,0.09064173,0.08299905,0.055253897,0.32007208,0.1715453,0.061457153,0.17846991,0.7055685,2002-01-01,0,1,16,93,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83659601080835,-2.057995400153618]}"
52_0,0.086597614,0.06964958,0.04191519,0.33055162,0.14167535,0.046735987,0.17335469,0.77493197,2002-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.777846191226935,-1.9485805985478601]}"
54_0,0.08824908,0.07685765,0.046329193,0.31014413,0.15212187,0.050733186,0.17721999,0.7400692,2002-01-01,0,1,11,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.88591351990651,-2.1264470248035257]}"
55_0,0.09406354,0.08245455,0.06422863,0.2876265,0.20264961,0.086497806,0.16430289,0.63491434,2002-01-01,0,1,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.808838068529056,-2.0838668803362603]}"
56_0,0.08989846,0.06993667,0.045806486,0.27993032,0.12864713,0.047730815,0.14916916,0.71875155,2002-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.808838068529056,-2.0499105625965424]}"
58_0,0.09288322,0.08495602,0.06085817,0.31416538,0.18303606,0.07093538,0.17800812,0.6754435,2002-01-01,0,1,10,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.86758788811047,-2.0906042449671567]}"
59_0,0.084734306,0.06880889,0.042081673,0.32767898,0.15362461,0.05239883,0.16726527,0.7723843,2002-01-01,0,1,9,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.786200523369246,-2.0043659776916827]}"
64_0,0.09366588,0.081534795,0.062358096,0.259446,0.18303189,0.08089552,0.14446807,0.61244684,2002-01-01,0,1,22,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.80991604687,-2.081710923654373]}"
66_0,0.08387344,0.06616433,0.039407454,0.29767573,0.13041101,0.043847654,0.15202805,0.7661856,2002-01-01,0,1,10,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.83120611910363,-2.0024795155950317]}"
