system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
1_0,0.09693195,0.08970917,0.059711657,0.34566242,0.19181323,0.07583426,0.19290724,0.7053997,2003-01-01,0,1,11,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.542307923730796,-2.052605508448901]}"
5_0,0.09038602,0.07563789,0.049377482,0.32058877,0.1438744,0.051315356,0.16939211,0.7330703,2003-01-01,0,1,21,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.418070919937065,-1.8459031615729988]}"
9_0,0.108763576,0.09300855,0.06612898,0.31101328,0.16078383,0.06942551,0.18353847,0.6493155,2003-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.50107525218971,-2.077129515705364]}"
16_0,0.103978254,0.09284717,0.07013041,0.2921548,0.15636468,0.067083254,0.17567435,0.61284417,2003-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.55605214757782,-2.093838179989987]}"
22_0,0.0993284,0.07770544,0.056536272,0.2095109,0.10584806,0.044894457,0.13836652,0.57499063,2003-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.31727994505885,-2.1189011764169217]}"
24_0,0.10057082,0.0870163,0.06020579,0.301879,0.1472297,0.05901719,0.17218718,0.6674492,2003-01-01,0,1,23,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.32374781510451,-1.8477896236696498]}"
25_0,0.08508234,0.06661135,0.04199998,0.3116084,0.13809422,0.04503311,0.16201915,0.7624492,2003-01-01,0,1,21,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42992868168744,-1.8547964828857821]}"
32_0,0.091145165,0.07646482,0.052665442,0.28745148,0.12885271,0.04585817,0.16172302,0.69030976,2003-01-01,0,1,13,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.332910631002534,-1.8952206706711607]}"
40_0,0.08413677,0.06535591,0.03984345,0.2902818,0.1367972,0.044261664,0.15134443,0.75861615,2003-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.459573086063386,-2.0493715734260705]}"
47_0,0.090313114,0.07456508,0.051752802,0.23745811,0.15970118,0.07210757,0.13000157,0.6421103,2003-01-01,0,1,4,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.3612075624523,-1.8755475659489431]}"
