system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
1_0,0.15336788,0.14197718,0.15337035,0.24375938,0.28961977,0.19291124,0.18027402,0.22760579,2011-01-01,0,1,11,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.542307923730796,-2.052605508448901]}"
5_0,0.09682238,0.08548747,0.06104339,0.30800486,0.1783843,0.07180379,0.18392684,0.6691848,2011-01-01,0,1,21,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.418070919937065,-1.8459031615729988]}"
9_0,0.14651877,0.13788812,0.1160964,0.36177346,0.22691253,0.12440415,0.22727056,0.5141087,2011-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.50107525218971,-2.077129515705364]}"
16_0,0.104228534,0.08844189,0.06706264,0.28652516,0.18832234,0.084618345,0.16762017,0.62067336,2011-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.55605214757782,-2.093838179989987]}"
22_0,0.16364768,0.14604104,0.1299891,0.29054528,0.19201298,0.12424398,0.21209154,0.38179085,2011-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.31727994505885,-2.1189011764169217]}"
24_0,0.096406,0.09129464,0.06089222,0.3229019,0.19201884,0.0766911,0.18529505,0.6826829,2011-01-01,0,1,23,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.32374781510451,-1.8477896236696498]}"
25_0,0.10345139,0.08894093,0.0648395,0.31980833,0.16519696,0.07361786,0.1758336,0.6628631,2011-01-01,0,1,21,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42992868168744,-1.8547964828857821]}"
32_0,0.09733877,0.07933534,0.051249854,0.3425332,0.14198023,0.046467435,0.18290135,0.73970515,2011-01-01,0,1,13,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.332910631002534,-1.8952206706711607]}"
40_0,0.16787432,0.16104348,0.14098677,0.38312972,0.26615173,0.14314114,0.25182796,0.46200216,2011-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.459573086063386,-2.0493715734260705]}"
47_0,0.11814458,0.108735085,0.08663658,0.31812865,0.20995119,0.098724626,0.1930332,0.5719169,2011-01-01,0,1,4,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.3612075624523,-1.8755475659489431]}"
48_0,0.095843256,0.0830969,0.05378288,0.32056758,0.15269832,0.05047477,0.17478614,0.71266025,2011-01-01,0,1,16,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.353661714065694,-1.8310809593850268]}"
51_0,0.14223193,0.12996699,0.11182577,0.33949193,0.20342731,0.11662068,0.21410525,0.50444764,2011-01-01,0,1,13,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.37360431337315,-1.8356623673340364]}"
54_0,0.101464614,0.08529504,0.056869123,0.35238495,0.15664665,0.052994885,0.19320866,0.72208405,2011-01-01,0,1,15,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.23697055865857,-2.1663322234184323]}"
57_0,0.11389227,0.098046176,0.0729901,0.34454972,0.18668424,0.08189475,0.19872825,0.6503802,2011-01-01,0,1,6,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.48274962039367,-1.8316199485554985]}"
58_0,0.12521434,0.1212501,0.12311015,0.2630603,0.2780048,0.15366451,0.18422392,0.36240512,2011-01-01,0,1,6,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.293833916143335,-2.1622898046398946]}"
61_0,0.09781251,0.08798826,0.0584363,0.32959834,0.1605536,0.05449692,0.17934631,0.69880885,2011-01-01,0,1,20,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.2364315694881,-1.7666717535136571]}"
64_0,0.10818881,0.0916491,0.0648516,0.32151058,0.15903579,0.06521769,0.17277108,0.6642963,2011-01-01,0,1,13,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42238283330084,-1.7761040639969121]}"
65_0,0.096240215,0.08034694,0.058617067,0.28845412,0.16347007,0.07127444,0.16008015,0.66221875,2011-01-01,0,1,17,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.301918753700406,-1.8647677825395088]}"
71_0,0.09300164,0.074517585,0.047746696,0.3419001,0.15479903,0.04913937,0.18216649,0.7549232,2011-01-01,0,1,23,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.29275593780239,-1.8224571326574794]}"
74_0,0.11922078,0.102716975,0.07656265,0.36371595,0.1910738,0.07630937,0.2054547,0.65220815,2011-01-01,0,1,17,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.30838662374607,-2.1097383605189024]}"
76_0,0.092433974,0.06910656,0.047411613,0.33182904,0.14734511,0.04325613,0.17008938,0.74996555,2011-01-01,0,1,17,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.35473969240664,-1.8450946778172914]}"
78_0,0.16747189,0.15140876,0.13615166,0.3417837,0.21621163,0.13074893,0.23425958,0.43025073,2011-01-01,0,1,18,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.442864421778765,-1.7270560494839862]}"
79_0,0.17649843,0.16258612,0.14920181,0.34612626,0.2501006,0.15630496,0.25211525,0.39756367,2011-01-01,0,1,13,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.271196370983525,-2.150162548304281]}"
82_0,0.15255761,0.1341444,0.121065445,0.25864562,0.18591902,0.11213084,0.18300495,0.3623286,2011-01-01,0,1,18,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42534727373843,-1.8507540641072444]}"
85_0,0.090541415,0.07360838,0.047411613,0.30547732,0.13490695,0.04325613,0.15546161,0.7312944,2011-01-01,0,1,14,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.48463608249032,-1.798741609156724]}"
89_0,0.102090895,0.081385635,0.05541254,0.28383273,0.13290307,0.05204335,0.15880877,0.67331874,2011-01-01,0,1,17,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.30650016164942,-1.894412186915453]}"
94_0,0.12382143,0.11294898,0.09019323,0.3223656,0.1929889,0.0913554,0.19464825,0.5627619,2011-01-01,0,1,10,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.39192994516919,-1.8423997319649328]}"
