system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
1_0,0.089738466,0.078643575,0.04676117,0.3137942,0.14792787,0.048016317,0.17700596,0.74061584,2005-01-01,0,1,11,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.542307923730796,-2.052605508448901]}"
5_0,0.11353943,0.10105088,0.075509824,0.3314859,0.1659553,0.07158215,0.1896255,0.62894046,2005-01-01,0,1,21,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.418070919937065,-1.8459031615729988]}"
9_0,0.087980635,0.07099556,0.04447461,0.30568445,0.13836217,0.044656765,0.16151766,0.74597484,2005-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.50107525218971,-2.077129515705364]}"
16_0,0.10162356,0.09144213,0.06702618,0.30277568,0.16192243,0.061178427,0.175082,0.6375022,2005-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.55605214757782,-2.093838179989987]}"
22_0,0.10493573,0.0867983,0.06190531,0.27883923,0.14050338,0.054793596,0.16250068,0.6366468,2005-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.31727994505885,-2.1189011764169217]}"
24_0,0.21516201,0.20275037,0.19115518,0.39121068,0.25593856,0.15780357,0.2858914,0.343522,2005-01-01,0,1,23,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.32374781510451,-1.8477896236696498]}"
25_0,0.12601966,0.1072007,0.0856434,0.2724378,0.1456642,0.07688463,0.16626403,0.5216538,2005-01-01,0,1,21,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42992868168744,-1.8547964828857821]}"
32_0,0.17976846,0.16905375,0.15350863,0.35883477,0.2233438,0.12956586,0.24857815,0.40075883,2005-01-01,0,1,13,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.332910631002534,-1.8952206706711607]}"
40_0,0.2040822,0.20761636,0.22407912,0.47171763,0.31386822,0.19169895,0.3488714,0.3559064,2005-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.459573086063386,-2.0493715734260705]}"
47_0,0.09113388,0.08028466,0.050097585,0.3185433,0.1683794,0.05457823,0.17366365,0.72820383,2005-01-01,0,1,4,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.3612075624523,-1.8755475659489431]}"
48_0,0.08988069,0.076658815,0.041192263,0.32517675,0.14546964,0.04811878,0.17066889,0.77513236,2005-01-01,0,1,16,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.353661714065694,-1.8310809593850268]}"
