system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
1_0,0.17505842,0.15737204,0.14555684,0.37095624,0.25834936,0.14447963,0.22948755,0.43638664,2013-01-01,0,1,11,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.542307923730796,-2.052605508448901]}"
9_0,0.17230731,0.16473341,0.14685477,0.36648732,0.25789964,0.15573499,0.24597532,0.4278483,2013-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.50107525218971,-2.077129515705364]}"
24_0,0.11969913,0.10323982,0.076712385,0.29420856,0.14643979,0.063183814,0.18587306,0.586368,2013-01-01,0,1,23,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.32374781510451,-1.8477896236696498]}"
25_0,0.22112495,0.21096525,0.20123035,0.42458248,0.29309684,0.18293652,0.3052836,0.35689926,2013-01-01,0,1,21,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42992868168744,-1.8547964828857821]}"
32_0,0.09907442,0.08135593,0.05232501,0.28413737,0.12691504,0.045229606,0.17017926,0.6889696,2013-01-01,0,1,13,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.332910631002534,-1.8952206706711607]}"
40_0,0.11239076,0.09894313,0.074189,0.3555743,0.19602539,0.07015313,0.20050827,0.65474486,2013-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.459573086063386,-2.0493715734260705]}"
47_0,0.1412269,0.12897381,0.11161588,0.36648732,0.22616781,0.10681449,0.2260471,0.53308874,2013-01-01,0,1,4,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.3612075624523,-1.8755475659489431]}"
48_0,0.3479004,0.35106212,0.35729915,0.48462072,0.41271323,0.30375022,0.40653902,0.15122765,2013-01-01,0,1,16,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.353661714065694,-1.8310809593850268]}"
51_0,0.12442067,0.11411247,0.08775371,0.33828175,0.21514231,0.10227762,0.21151775,0.58804506,2013-01-01,0,1,13,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.37360431337315,-1.8356623673340364]}"
54_0,0.11035159,0.07451731,0.04806394,0.21635863,0.09209296,0.03615772,0.16194864,0.63646114,2013-01-01,0,1,15,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.23697055865857,-2.1663322234184323]}"
