system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
1_0,0.10751419,0.092902005,0.08082488,0.23751682,0.18875766,0.08671604,0.15586823,0.49221304,2012-01-01,0,1,11,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.542307923730796,-2.052605508448901]}"
5_0,0.09973108,0.08584942,0.063004695,0.32332236,0.15789068,0.057179347,0.18426482,0.6738272,2012-01-01,0,1,21,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.418070919937065,-1.8459031615729988]}"
9_0,0.09620307,0.08603072,0.053918105,0.33768913,0.16458867,0.0630711,0.1850326,0.7246317,2012-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.50107525218971,-2.077129515705364]}"
16_0,0.10374382,0.08598453,0.0627412,0.31208777,0.17758687,0.06798425,0.1702122,0.6652276,2012-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.55605214757782,-2.093838179989987]}"
22_0,0.15742952,0.14219637,0.12934868,0.33070517,0.22750503,0.13850978,0.21982044,0.43768024,2012-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.31727994505885,-2.1189011764169217]}"
24_0,0.09973108,0.09285928,0.06632445,0.32332236,0.15789068,0.057179347,0.1812531,0.6595663,2012-01-01,0,1,23,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.32374781510451,-1.8477896236696498]}"
25_0,0.09817371,0.087601885,0.061344814,0.30489698,0.17644495,0.074754745,0.16619447,0.6650038,2012-01-01,0,1,21,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42992868168744,-1.8547964828857821]}"
32_0,0.0935016,0.07883956,0.051385537,0.2533059,0.12310142,0.048391648,0.15113583,0.6627044,2012-01-01,0,1,13,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.332910631002534,-1.8952206706711607]}"
40_0,0.101288445,0.08935435,0.06632445,0.28278652,0.18108352,0.076951675,0.1692062,0.62003803,2012-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.459573086063386,-2.0493715734260705]}"
47_0,0.10284582,0.09110682,0.06798433,0.2864716,0.16716781,0.068163976,0.17522965,0.6164018,2012-01-01,0,1,4,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.3612075624523,-1.8755475659489431]}"
48_0,0.096616335,0.08584942,0.059684932,0.3012119,0.14629425,0.052785497,0.17522965,0.669241,2012-01-01,0,1,16,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.353661714065694,-1.8310809593850268]}"
51_0,0.10907529,0.09110682,0.08292324,0.2275104,0.20891492,0.1055117,0.14812411,0.46575865,2012-01-01,0,1,13,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.37360431337315,-1.8356623673340364]}"
54_0,0.091695026,0.076669306,0.048414767,0.3298335,0.14310598,0.051277593,0.1759974,0.7440054,2012-01-01,0,1,15,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.23697055865857,-2.1663322234184323]}"
57_0,0.105960555,0.08935435,0.08292324,0.2238253,0.21819204,0.10990555,0.14210065,0.4593406,2012-01-01,0,1,6,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.48274962039367,-1.8316199485554985]}"
58_0,0.10001446,0.093732044,0.06841953,0.32013756,0.18131047,0.06925647,0.18368554,0.6478277,2012-01-01,0,1,6,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.293833916143335,-2.1622898046398946]}"
61_0,0.10440319,0.09110682,0.061344814,0.31963727,0.14861354,0.057179347,0.17221792,0.67796487,2012-01-01,0,1,20,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.2364315694881,-1.7666717535136571]}"
64_0,0.09194423,0.07533463,0.049725655,0.2864716,0.13237855,0.04619472,0.15414757,0.70418763,2012-01-01,0,1,13,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42238283330084,-1.7761040639969121]}"
65_0,0.09973108,0.08409695,0.056365173,0.26436114,0.12774,0.052785497,0.14511238,0.64851546,2012-01-01,0,1,17,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.301918753700406,-1.8647677825395088]}"
71_0,0.101288445,0.082344495,0.059684932,0.30489698,0.14397497,0.057179347,0.17522965,0.67258424,2012-01-01,0,1,23,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.29275593780239,-1.8224571326574794]}"
74_0,0.09300319,0.0763439,0.047103878,0.33072218,0.14956185,0.047920264,0.17454755,0.7506584,2012-01-01,0,1,17,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.30838662374607,-2.1097383605189024]}"
78_0,0.09194423,0.073582165,0.048065778,0.2717313,0.1254207,0.04619472,0.15414757,0.6993983,2012-01-01,0,1,18,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.442864421778765,-1.7270560494839862]}"
79_0,0.0974292,0.0763439,0.05496579,0.28534055,0.1781222,0.07289338,0.16028301,0.67696285,2012-01-01,0,1,13,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.271196370983525,-2.150162548304281]}"
82_0,0.096616335,0.082344495,0.056365173,0.3159522,0.14861354,0.054982424,0.1812531,0.6972198,2012-01-01,0,1,18,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42534727373843,-1.8507540641072444]}"
89_0,0.09817371,0.08059203,0.059684932,0.26804623,0.13469784,0.04619472,0.15113583,0.63576895,2012-01-01,0,1,17,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.30650016164942,-1.894412186915453]}"
94_0,0.09817371,0.09110682,0.06632445,0.29752684,0.16252925,0.06377012,0.17824137,0.635431,2012-01-01,0,1,10,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.39192994516919,-1.8423997319649328]}"
102_0,0.096616335,0.08584942,0.061344814,0.3012119,0.14861354,0.052785497,0.1692062,0.6615988,2012-01-01,0,1,17,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.38115016175975,-1.8666542446361598]}"
