system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
1_0,0.105997056,0.09414996,0.06393349,0.32726443,0.16871521,0.062321175,0.1949807,0.6731399,2006-01-01,0,1,11,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.542307923730796,-2.052605508448901]}"
9_0,0.17717789,0.17442617,0.15428771,0.40833178,0.26805753,0.17115211,0.3030808,0.451538,2006-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.50107525218971,-2.077129515705364]}"
16_0,0.102270596,0.08367553,0.06183608,0.25430328,0.14913772,0.05945886,0.15486476,0.60880494,2006-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.55605214757782,-2.093838179989987]}"
22_0,0.11799117,0.09970221,0.07666443,0.30630714,0.16077857,0.07012063,0.18337254,0.5996338,2006-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.31727994505885,-2.1189011764169217]}"
24_0,0.111366935,0.09799792,0.07435544,0.27793512,0.16962777,0.074102595,0.16907638,0.57787436,2006-01-01,0,1,23,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.32374781510451,-1.8477896236696498]}"
25_0,0.15558654,0.1418812,0.12375326,0.344806,0.26882184,0.13017982,0.22636399,0.47177115,2006-01-01,0,1,21,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42992868168744,-1.8547964828857821]}"
32_0,0.2111825,0.20385717,0.19431171,0.42093652,0.2966318,0.19074804,0.3183954,0.36834696,2006-01-01,0,1,13,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.332910631002534,-1.8952206706711607]}"
40_0,0.10015091,0.0903631,0.06295015,0.35456848,0.18999054,0.06855962,0.19809513,0.69845587,2006-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.459573086063386,-2.0493715734260705]}"
47_0,0.1723301,0.16561972,0.1501868,0.3524413,0.23967847,0.14517136,0.25467974,0.40239394,2006-01-01,0,1,4,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.3612075624523,-1.8755475659489431]}"
48_0,0.15852195,0.14804506,0.12958103,0.37486905,0.23512265,0.13277666,0.25677118,0.48624834,2006-01-01,0,1,16,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.353661714065694,-1.8310809593850268]}"
51_0,0.10892493,0.09474668,0.067717895,0.27643916,0.13043901,0.052562904,0.1671716,0.606471,2006-01-01,0,1,13,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.37360431337315,-1.8356623673340364]}"
54_0,0.100888,0.09008149,0.05593375,0.34373656,0.17224158,0.061701663,0.19284225,0.7201005,2006-01-01,0,1,15,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.23697055865857,-2.1663322234184323]}"
57_0,0.10407176,0.08105632,0.065788835,0.2142342,0.15043105,0.07090016,0.12839173,0.5301184,2006-01-01,0,1,6,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.48274962039367,-1.8316199485554985]}"
58_0,0.10721983,0.08659689,0.07222311,0.2165149,0.17368032,0.084761105,0.13455282,0.49973255,2006-01-01,0,1,6,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.293833916143335,-2.1622898046398946]}"
61_0,0.15235162,0.14269267,0.1250515,0.3277838,0.22760394,0.1297577,0.22550039,0.44769543,2006-01-01,0,1,20,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.2364315694881,-1.7666717535136571]}"
64_0,0.0987308,0.08301011,0.057583965,0.3221464,0.16666931,0.0596301,0.17931116,0.6967113,2006-01-01,0,1,13,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42238283330084,-1.7761040639969121]}"
65_0,0.09533665,0.07736393,0.05135735,0.25912863,0.122277856,0.041862436,0.14698145,0.66918087,2006-01-01,0,1,17,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.301918753700406,-1.8647677825395088]}"
71_0,0.11823255,0.0995332,0.077047534,0.30439574,0.1602295,0.07706571,0.17782803,0.596021,2006-01-01,0,1,23,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.29275593780239,-1.8224571326574794]}"
74_0,0.12433196,0.10906042,0.08442918,0.3031368,0.16504334,0.072208,0.1906682,0.56431067,2006-01-01,0,1,17,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.30838662374607,-2.1097383605189024]}"
76_0,0.11847083,0.08564335,0.061534826,0.17592095,0.075739026,0.03187106,0.13941339,0.48171547,2006-01-01,0,1,17,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.35473969240664,-1.8450946778172914]}"
78_0,0.100452855,0.080050096,0.055333856,0.29593086,0.13474742,0.048448257,0.16147384,0.684945,2006-01-01,0,1,18,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.442864421778765,-1.7270560494839862]}"
79_0,0.16690773,0.1494804,0.13482736,0.32716888,0.22652084,0.13711065,0.22867449,0.41632703,2006-01-01,0,1,13,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.271196370983525,-2.150162548304281]}"
82_0,0.100682355,0.08351347,0.053520486,0.3515031,0.16103432,0.05173362,0.1931046,0.7357167,2006-01-01,0,1,18,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42534727373843,-1.8507540641072444]}"
85_0,0.13679722,0.1141973,0.09458847,0.19593532,0.11772608,0.069654934,0.15946616,0.34884182,2006-01-01,0,1,14,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.48463608249032,-1.798741609156724]}"
89_0,0.16368608,0.15054043,0.13379277,0.37551546,0.23609896,0.12838897,0.24359329,0.47460982,2006-01-01,0,1,17,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.30650016164942,-1.894412186915453]}"
94_0,0.11090179,0.10245327,0.07607544,0.32978514,0.19089666,0.07663636,0.19489095,0.6251154,2006-01-01,0,1,10,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.39192994516919,-1.8423997319649328]}"
98_0,0.110012494,0.07929803,0.055525072,0.20594251,0.082037084,0.025905188,0.12317264,0.5752814,2006-01-01,0,1,13,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.51185503559914,-1.8310809593850268]}"
102_0,0.10192769,0.087955825,0.06735953,0.24449526,0.16545366,0.07097641,0.15549739,0.5680071,2006-01-01,0,1,17,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.38115016175975,-1.8666542446361598]}"
104_0,0.107171565,0.09176467,0.0662124,0.33716673,0.1433318,0.040739566,0.18234302,0.6717113,2006-01-01,0,1,20,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.35959059494088,-2.099228071694704]}"
105_0,0.16414122,0.15298814,0.14703241,0.31611958,0.28034967,0.15876643,0.22747523,0.36507922,2006-01-01,0,1,1,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.421843844130365,-1.8440166994763478]}"
107_0,0.103866816,0.09216768,0.0637778,0.34082818,0.1676248,0.061512653,0.19274995,0.6847412,2006-01-01,0,1,3,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.235892580317625,-2.1474676024519224]}"
110_0,0.20331141,0.20915398,0.19088915,0.37521547,0.27971452,0.17179619,0.28524008,0.3256047,2006-01-01,0,1,14,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.50134474677494,-1.900071573205406]}"
111_0,0.097531766,0.081682645,0.052930184,0.31058657,0.15009946,0.051902834,0.1745486,0.7087882,2006-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.30730864540513,-2.0932991908195153]}"
115_0,0.09745464,0.07636005,0.049629916,0.27771646,0.12485724,0.041469738,0.15387201,0.6967743,2006-01-01,0,1,21,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.22053138895918,-1.7437647137686092]}"
116_0,0.10523957,0.08823705,0.07162106,0.2624852,0.17959252,0.075764604,0.16013448,0.5712678,2006-01-01,0,1,11,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.54284691290127,-2.106773920081308]}"
117_0,0.10148719,0.08765189,0.057516646,0.3428497,0.15808521,0.05668372,0.184819,0.7126799,2006-01-01,0,1,13,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.35204474655428,-1.8167977463675264]}"
120_0,0.17037599,0.16645932,0.14856365,0.3624755,0.2668128,0.15205613,0.24185143,0.4185821,2006-01-01,0,1,16,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.23670106407333,-2.1507015374747525]}"
124_0,0.14212595,0.13056748,0.10579307,0.34621578,0.20611854,0.10344428,0.2193387,0.53189826,2006-01-01,0,1,16,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.43397110046598,-1.8499455803515368]}"
130_0,0.116858274,0.095301665,0.07482026,0.27239034,0.13944732,0.059045594,0.1664987,0.56902087,2006-01-01,0,1,22,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.21056008930545,-2.098689082524232]}"
134_0,0.09301598,0.08308922,0.050828606,0.32063535,0.14517397,0.04529094,0.177262,0.72633356,2006-01-01,0,1,18,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42292182247131,-1.8008975658386108]}"
