system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
1_0,0.09660678,0.084811896,0.067164496,0.27019253,0.21458538,0.11085519,0.16894904,0.6018195,2010-01-01,0,1,11,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.542307923730796,-2.052605508448901]}"
5_0,0.08864874,0.07631037,0.055999145,0.30049905,0.16508417,0.06449345,0.16913922,0.6858377,2010-01-01,0,1,21,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.418070919937065,-1.8459031615729988]}"
9_0,0.09761605,0.08104928,0.06288822,0.2834556,0.19676822,0.08596811,0.15973188,0.6368452,2010-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.50107525218971,-2.077129515705364]}"
16_0,0.09784369,0.08438345,0.06832675,0.28138942,0.19399953,0.083658874,0.16445585,0.6092445,2010-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.55605214757782,-2.093838179989987]}"
22_0,0.08794555,0.06949054,0.042002667,0.29699892,0.13033965,0.044092625,0.16136804,0.7521978,2010-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.31727994505885,-2.1189011764169217]}"
24_0,0.088461824,0.071204685,0.044898786,0.25613034,0.11719465,0.03864391,0.13260952,0.70169806,2010-01-01,0,1,23,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.32374781510451,-1.8477896236696498]}"
25_0,0.089153975,0.076498695,0.047036916,0.3212841,0.16122174,0.053704247,0.16891038,0.74458736,2010-01-01,0,1,21,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42992868168744,-1.8547964828857821]}"
32_0,0.08843839,0.074188426,0.04558653,0.33552527,0.14490393,0.046058428,0.17279008,0.76077086,2010-01-01,0,1,13,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.332910631002534,-1.8952206706711607]}"
40_0,0.10871412,0.103367105,0.09626937,0.2897265,0.27577084,0.13293907,0.18014163,0.50118965,2010-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.459573086063386,-2.0493715734260705]}"
47_0,0.1016962,0.09480028,0.07976145,0.28716007,0.23915899,0.1189106,0.17117746,0.5652397,2010-01-01,0,1,4,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.3612075624523,-1.8755475659489431]}"
48_0,0.089153975,0.07956149,0.049200013,0.32270008,0.16936319,0.060439765,0.17412858,0.7354127,2010-01-01,0,1,16,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.353661714065694,-1.8310809593850268]}"
51_0,0.08712438,0.077303916,0.047086842,0.28608418,0.13202769,0.042318128,0.1533464,0.7173413,2010-01-01,0,1,13,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.37360431337315,-1.8356623673340364]}"
54_0,0.09580988,0.081031494,0.05490035,0.31956983,0.16327552,0.056756366,0.17537643,0.7067839,2010-01-01,0,1,15,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.23697055865857,-2.1663322234184323]}"
57_0,0.08965922,0.07673973,0.046976723,0.3346307,0.16148242,0.05476375,0.18340755,0.75379556,2010-01-01,0,1,6,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.48274962039367,-1.8316199485554985]}"
58_0,0.10688542,0.100887865,0.096679196,0.27010673,0.25616077,0.12412734,0.17110445,0.47283038,2010-01-01,0,1,6,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.293833916143335,-2.1622898046398946]}"
61_0,0.09321317,0.0848555,0.06004047,0.30954218,0.18536669,0.08627331,0.1819332,0.67509043,2010-01-01,0,1,20,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.2364315694881,-1.7666717535136571]}"
64_0,0.08910711,0.07569347,0.04843738,0.3081262,0.15101874,0.04892148,0.16877457,0.72831,2010-01-01,0,1,13,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42238283330084,-1.7761040639969121]}"
65_0,0.08913055,0.07878262,0.047036916,0.32755804,0.15610278,0.055657,0.16881984,0.7488652,2010-01-01,0,1,17,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.301918753700406,-1.8647677825395088]}"
71_0,0.0856469,0.07222459,0.042700455,0.3377954,0.1594907,0.05287708,0.17943731,0.77555364,2010-01-01,0,1,23,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.29275593780239,-1.8224571326574794]}"
74_0,0.08674805,0.071622334,0.0418102,0.281459,0.12725863,0.042909972,0.15358996,0.7413289,2010-01-01,0,1,17,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.30838662374607,-2.1097383605189024]}"
76_0,0.087793104,0.071878165,0.043423433,0.33524802,0.15805957,0.053770326,0.17528597,0.7706538,2010-01-01,0,1,17,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.35473969240664,-1.8450946778172914]}"
