system:index,B1,B2,B3,B4,B5,B7,B8,NDVI,date,gain,loss,lossyear,treecover2000,.geo
1_0,0.14341941,0.12554191,0.102156416,0.3659021,0.20558749,0.09858783,0.21795452,0.5634887,2008-01-01,0,1,11,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.542307923730796,-2.052605508448901]}"
5_0,0.14289844,0.12458585,0.10958261,0.27652904,0.22890368,0.12505028,0.18204665,0.43237865,2008-01-01,0,1,21,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.418070919937065,-1.8459031615729988]}"
9_0,0.15306859,0.1384342,0.12100064,0.3603252,0.21786466,0.12297737,0.22963434,0.4972194,2008-01-01,0,1,2,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.50107525218971,-2.077129515705364]}"
16_0,0.16275772,0.15208033,0.13891388,0.33227298,0.24407493,0.14187685,0.23386317,0.41036606,2008-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.55605214757782,-2.093838179989987]}"
22_0,0.16219974,0.14160125,0.12591864,0.30014333,0.18601695,0.112457216,0.2017012,0.40891865,2008-01-01,0,1,19,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.31727994505885,-2.1189011764169217]}"
24_0,0.19980836,0.18888718,0.17458469,0.40911567,0.28020597,0.1788595,0.2773593,0.4018003,2008-01-01,0,1,23,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.32374781510451,-1.8477896236696498]}"
25_0,0.098795176,0.08105362,0.052796192,0.3519282,0.16017658,0.056410424,0.18554065,0.7391005,2008-01-01,0,1,21,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42992868168744,-1.8547964828857821]}"
32_0,0.10625136,0.08758964,0.06233164,0.30625075,0.14662467,0.059845593,0.18523827,0.66177636,2008-01-01,0,1,13,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.332910631002534,-1.8952206706711607]}"
40_0,0.12230387,0.11389871,0.104096785,0.2936304,0.24932384,0.12256011,0.18787634,0.47654176,2008-01-01,0,1,7,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.459573086063386,-2.0493715734260705]}"
47_0,0.13905305,0.128473,0.10699049,0.34189767,0.21837804,0.1015766,0.22454037,0.52330893,2008-01-01,0,1,4,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.3612075624523,-1.8755475659489431]}"
48_0,0.10004906,0.0824642,0.056641083,0.26685363,0.17430133,0.0688025,0.150623,0.6498176,2008-01-01,0,1,16,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.353661714065694,-1.8310809593850268]}"
51_0,0.25209647,0.24154136,0.23407584,0.4338295,0.32872844,0.227147,0.31182894,0.29907477,2008-01-01,0,1,13,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.37360431337315,-1.8356623673340364]}"
54_0,0.2224658,0.22948304,0.21316007,0.41683924,0.31810096,0.19917348,0.32453373,0.32330063,2008-01-01,0,1,15,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.23697055865857,-2.1663322234184323]}"
57_0,0.18082431,0.16584954,0.15025604,0.366042,0.23825625,0.13480446,0.25414976,0.41794842,2008-01-01,0,1,6,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.48274962039367,-1.8316199485554985]}"
58_0,0.118003435,0.10211756,0.08878754,0.24602291,0.19131133,0.087059945,0.16881914,0.46962503,2008-01-01,0,1,6,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.293833916143335,-2.1622898046398946]}"
61_0,0.1904478,0.17022859,0.16376713,0.26832575,0.19777867,0.14484283,0.21268104,0.24198182,2008-01-01,0,1,20,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.2364315694881,-1.7666717535136571]}"
64_0,0.097932264,0.077170044,0.049451105,0.257792,0.11355286,0.03781383,0.14183743,0.67809784,2008-01-01,0,1,13,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.42238283330084,-1.7761040639969121]}"
