"geometry_name","ATT_SC","Pre.RMSE_SC","Post.RMSE_SC","Ratio.Post.Pre_SC","order.x","rank.x","ATT_SCMO","Pre.RMSE_SCMO","Post.RMSE_SCMO","Ratio.Post.Pre_SCMO","order.y","rank.y","SCMO_wins_SC","centroid_lat","centroid_lon"
"donor113.0",0.00983736871305552,0.000388687707367829,0.0146043202840375,37.5734040650194,1,0.00854700854700855,0.0056003207068559,0.000530558154864439,0.0126942969064817,23.9263062683961,23,0.194915254237288,TRUE,-6.00464240215405,-57.8728998672682
"donor30.0",0.126149379810789,0.0131275222346951,0.369893596134729,28.1769544565788,2,0.0170940170940171,0.134253781148144,0.00316906429362081,0.372859383240898,117.65598570892,1,0.00847457627118644,FALSE,-2.3902380640251,-47.6701096439987
"donor45.0",0.016398575963,0.0013489658111898,0.0216607047323354,16.0572673915512,3,0.0256410256410256,0.0117055695116996,0.000496078861604139,0.0199453594055576,40.2060255925066,8,0.0677966101694915,TRUE,-3.0233537355568,-51.1105715777952
"donor40.0",0.0143251603736741,0.00432772740704403,0.0504791286394697,11.6641192689972,4,0.0341880341880342,0.00927111920259435,0.00137189580900502,0.04471436557449,32.5931206152744,18,0.152542372881356,TRUE,-1.45951084305431,-54.9161515715463
"donor63.0",0.0352873911105111,0.00816432910941862,0.0924131057617643,11.3191303931089,5,0.0427350427350427,0.0430613968239385,0.00356938901005254,0.101057072910073,28.3121488370879,21,0.177966101694915,FALSE,-7.88726814144356,-55.0593517789859
"donor101.0",0.00799810017944448,0.00420306557175823,0.0328400279242487,7.81335131788367,6,0.0512820512820513,0.0123225788882055,0.00077814374775052,0.0296742086551077,38.1346103992878,10,0.0847457627118644,FALSE,-2.70822435716092,-49.8940967325842
"donor98.0",-0.0125654919164429,0.00319358186537571,0.0217884265940034,6.8225671088097,7,0.0598290598290598,-0.00318854095065033,0.00133418969153216,0.0102606391517351,7.69053997108311,58,0.491525423728814,TRUE,-3.94098623024257,-48.578283977571
"donor71.0",0.00424626930675433,0.000903914570923918,0.00572625996268932,6.33495702678666,8,0.0683760683760684,0.00673893684118258,0.00117656502587468,0.013890581162457,11.8060462932174,36,0.305084745762712,FALSE,-2.16532138570721,-49.3081160597905
"donor129.0",0.0193577127044306,0.0065575576949478,0.0412432586439075,6.28942367913636,9,0.0769230769230769,0.0145551502098342,0.00464059232413928,0.0408635071759153,8.80566624293906,51,0.432203389830508,TRUE,-4.26667625776606,-48.6448407681495
"donor105.0",0.0199682131764249,0.00684773405307807,0.0393491975374759,5.7463092509833,11,0.094017094017094,0.0347021186678167,0.00215957202917865,0.042181213133188,19.5322094207854,27,0.228813559322034,FALSE,-3.26633974918013,-50.3329430928203
