"geometry_name","ATT_SC"
"donor1.0",-0.00117991501742779
"donor2.0",-0.00147003044309393
"donor4.0",-0.00590023248902715
"donor5.0",0.00036288634749981
"donor6.0",-0.0017566381291093
"donor7.0",-0.00922670590398693
"donor8.0",-0.000250719644200045
"donor9.0",0.00294496937003388
"donor10.0",-0.0145644113450891
"donor12.0",-0.0025393842077536
"donor13.0",0.00354143249148935
"donor15.0",-0.00416335556904604
"donor16.0",-0.00484796827479955
"donor17.0",-0.00629064070374769
"donor20.0",7.86847712764657e-05
"donor22.0",-0.0103104579913525
"donor23.0",-0.00772875206032172
"donor24.0",-0.00846155142776539
"donor25.0",0.00205718900795061
"donor26.0",0.0107024476287786
"donor27.0",0.00326944402132235
"donor28.0",0.000656060956836604
"donor29.0",-0.00882501299432504
"donor30.0",0.126196863326867
"donor31.0",0.00677106820229016
"donor32.0",0.0185951845599832
"donor33.0",-0.000116294271828618
"donor35.0",-0.00653798283215845
"donor36.0",-0.00608136441553448
"donor37.0",-0.0148645515618166
"donor38.0",0.00384355481532104
"donor40.0",0.014193711362135
"donor41.0",0.00290358457019436
"donor42.0",0.00257390547042038
"donor43.0",0.00547418752887735
"donor45.0",0.0153845753909771
"donor46.0",0.0181673857686535
"donor47.0",0.00293886935324117
"donor48.0",0.0148210285114896
"donor49.0",0.00194332897222624
"donor50.0",0.00786617119113437
"donor51.0",-0.00693264469459938
"donor52.0",-0.01223466781065
"donor55.0",0.000957710073551036
"donor56.0",-0.0158329804326453
"donor57.0",-0.00374724674264659
"donor59.0",-0.00017914892763063
"donor61.0",-0.00169299785755554
"donor62.0",-0.0013472664577092
"donor63.0",0.0382224075291516
"donor64.0",0.0092810132860776
"donor65.0",0.00426364519493468
"donor67.0",-0.00408244849859252
"donor68.0",0.00378052379509682
"donor69.0",-0.0108684716115032
"donor70.0",0.011036488401717
"donor71.0",0.00700826881279743
"donor72.0",-0.00161483825795803
"donor73.0",-0.00518945202495902
"donor74.0",-0.00618743556727319
"donor77.0",-0.00192364276232401
"donor78.0",0.00184270290064723
"donor79.0",-0.000977542469804814
"donor80.0",-0.00971976153587996
"donor81.0",-0.0010377911860304
"donor83.0",-0.00114006491760033
"donor85.0",-0.0132851754448715
"donor86.0",-0.0038226247078479
"donor87.0",-0.00556221969922913
"donor89.0",-0.00273431047299978
"donor90.0",0.00555185991137003
"donor91.0",0.00108335616695154
"donor92.0",-0.00330113304485224
"donor93.0",0.00135631051758002
"donor95.0",0.0109602667596229
"donor96.0",0.00916954904632601
"donor97.0",-0.00819067371325735
"donor98.0",-0.0125967289134399
"donor99.0",-0.00507106034934924
"donor101.0",0.00917064448438812
"donor102.0",0.00642796003974583
"donor105.0",0.0333270240826174
"donor106.0",-0.00367954920873399
"donor107.0",5.08893159734709e-05
"donor108.0",0.0074086841594513
"donor110.0",0.000205636331526298
"donor111.0",-0.00169127934549636
"donor112.0",-0.00524134429807914
"donor113.0",0.00981598265937338
"donor114.0",-0.00747802792392959
"donor115.0",-0.00246657760286512
"donor116.0",0.00530682682396502
"donor117.0",-0.0121254486816811
"donor118.0",-0.00578646480453628
"donor120.0",0.000175773940774609
"donor121.0",-0.00713322552019732
"donor122.0",0.00462606078093639
"donor123.0",0.00223194215258367
"donor124.0",-0.00371029030016927
"donor127.0",-0.0109134672586765
"donor128.0",0.0110591233858144
"donor129.0",0.0224538950499806
"donor130.0",-0.00643299019291083
"donor131.0",-0.000371160840744148
"donor132.0",-0.000355191904003632
"donor133.0",-0.00525042731693697
"donor134.0",0.0162350826308009
"donor135.0",0.0153937542051085
"donor137.0",0.0122461431424481
"donor139.0",-0.0113381883116386
"donor140.0",-0.0061256062341737
"donor142.0",-0.01581308296053
"donor143.0",0.00352495164955807
"donor144.0",0.00915701481887368
"donor145.0",-0.00401667024532037
"donor146.0",-0.000605804928539723
"donor147.0",-0.0104308438234745
"donor149.0",0.0170012260419202
