"geometry_name","ATT_SC"
"donor1.0",-0.000214200039544177
"donor10.0",-0.0098885439170906
"donor100.0",0.000863709716896593
"donor101.0",0.0113760530910674
"donor102.0",0.00259818247100424
"donor103.0",-0.0132706115181894
"donor104.0",0.027024347474884
"donor105.0",0.0323029088716807
"donor106.0",-0.00146073503191928
"donor107.0",0.00628709411827325
"donor108.0",0.0100033345081019
"donor109.0",0.00954751974982712
"donor11.0",0.0109745414028981
"donor110.0",-0.00221056132704516
"donor111.0",-0.0027012950273446
"donor112.0",-0.00385399642057706
"donor113.0",0.00552726082348359
"donor114.0",-0.00878596785540963
"donor115.0",-0.00772346712213619
"donor116.0",0.0056040424686647
"donor117.0",0.000371801704520266
"donor118.0",-0.0082502570512193
"donor119.0",0.0176214280412727
"donor12.0",-0.000164700724494141
"donor120.0",-0.00219512776526058
"donor121.0",-0.00793533436266231
"donor122.0",0.00417991282952832
"donor123.0",0.0121075669641661
"donor124.0",-0.00482116389423012
"donor125.0",-0.00248736650948804
"donor126.0",-0.0131492516836977
"donor127.0",-0.00917649540821449
"donor128.0",0.0203834565224573
"donor129.0",0.0231918787960363
"donor13.0",0.00553396697925525
"donor130.0",-0.00514163461419218
"donor131.0",-0.00266527942924622
"donor132.0",0.0039495941895864
"donor133.0",-0.00381788433578712
"donor134.0",0.0166485297367715
"donor135.0",0.0120232477223964
"donor136.0",0.0196617636062627
"donor137.0",0.0158455068106146
"donor138.0",-0.0012114557772821
"donor139.0",-0.012855848533899
"donor14.0",-0.0064247092343977
"donor140.0",-0.00727632437889561
"donor141.0",0.0270267694308487
"donor142.0",-0.0123440049528035
"donor143.0",0.00640438448870862
"donor144.0",0.00931311221552388
"donor145.0",-0.000963338426002501
"donor146.0",-0.00484098953389079
"donor147.0",-0.0106042883229556
"donor148.0",-0.00949124567088451
"donor149.0",0.0167004757317924
"donor15.0",-0.00238721053615824
"donor150.0",-0.00688612215622627
"donor16.0",-0.00541980315937048
"donor17.0",-0.00751457232734633
"donor18.0",0.00871630674778706
"donor19.0",0.00590351972560685
"donor2.0",-0.00034424863370247
"donor20.0",-0.00236416984402534
"donor21.0",-0.0103397063181423
"donor22.0",-0.00995225099190536
"donor23.0",-0.0102323813990704
"donor24.0",0.0057562641345228
"donor25.0",0.00483119704733766
"donor26.0",0.0161172313376339
"donor27.0",0.0171455118357118
"donor28.0",-0.00409268926982543
"donor29.0",-0.00919649377938492
"donor3.0",0.00504209152118779
"donor30.0",0.132850117821284
"donor31.0",0.0100733980252747
"donor32.0",0.0233925114761374
"donor33.0",-0.000541868004543488
"donor34.0",0.0023406670104219
"donor35.0",-0.0102124574229833
"donor36.0",-0.00424024476687064
"donor37.0",-0.0096472454827357
"donor38.0",0.00650891925266953
"donor39.0",0.00718027466405163
"donor4.0",-0.00136383310600956
"donor40.0",0.0172228718505955
"donor41.0",0.000768159788624346
"donor42.0",0.000247324455630574
"donor43.0",0.0173167843173476
"donor44.0",0.00207677319381868
"donor45.0",0.016273603118505
"donor46.0",0.0160298045819181
"donor47.0",0.000421144833099871
"donor48.0",0.0231215183107435
"donor49.0",0.003118055867229
"donor5.0",-0.000249405270756272
"donor50.0",0.00640230033953497
"donor51.0",-0.00373785258241899
"donor52.0",-0.0050728188018561
"donor53.0",-0.00241301154954308
"donor54.0",-0.00022707853834437
"donor55.0",-0.00133072703547089
"donor56.0",-0.00172141105317823
"donor57.0",-0.00880486759415455
"donor58.0",0.0120991946199997
"donor59.0",0.00537978159768799
"donor6.0",0.00715056385279388
"donor60.0",-0.00614821576776066
"donor61.0",0.00183756325029872
"donor62.0",0.0177031260452747
"donor63.0",0.0469209003899381
"donor64.0",0.00834426308008527
"donor65.0",0.00802031411570234
"donor66.0",-0.00436155502097113
"donor67.0",-0.00100455586234774
"donor68.0",0.0165920669401103
"donor69.0",-0.00485451568299479
"donor7.0",-0.00887077251831772
"donor70.0",0.0258484851067042
"donor71.0",-0.00341546494948722
"donor72.0",-0.000715341436350264
"donor73.0",-0.00600952198598485
"donor74.0",-0.0107733732282844
"donor75.0",0.0199415208008823
"donor76.0",0.0123843070446599
"donor77.0",-0.00242770266369569
"donor78.0",0.00842561942266912
"donor79.0",-6.74975592496879e-06
"donor8.0",-0.0048045805503938
"donor80.0",-0.00519510333538001
"donor81.0",-0.00154118981651385
"donor82.0",0.00920203403719603
"donor83.0",-0.00433309373210161
"donor84.0",-0.00354078684862071
"donor85.0",-0.00195708592579967
"donor86.0",-0.00344863268636401
"donor87.0",-0.00524553750455541
"donor88.0",-0.000433302120535968
"donor89.0",-0.00395190462399447
"donor9.0",0.00413951219315053
"donor90.0",0.0109607466392388
"donor91.0",0.00413327249668207
"donor92.0",-0.000575521368210451
"donor93.0",0.00120608918026164
"donor94.0",-0.00523833179925976
"donor95.0",0.00878990012620108
"donor96.0",0.0144339248701178
"donor97.0",-0.00862715354802666
"donor98.0",-0.0108453855316677
"donor99.0",-0.000328267801132859
"treated",0.00215756382405025
