"geometry_name","ATT_SCMO"
"donor1.0",-0.0104203298934784
"donor10.0",-0.0021889119823344
"donor101.0",0.0123225788882055
"donor102.0",0.00637315459982476
"donor105.0",0.0347021186678167
"donor106.0",0.00959367718195933
"donor107.0",0.00137178006491367
"donor108.0",-0.0382964657342305
"donor110.0",0.000109466228949223
"donor111.0",-0.0198887293418388
"donor112.0",-0.00779301652177599
"donor113.0",0.0056003207068559
"donor114.0",-0.00254083196659547
"donor115.0",-0.00142576158753983
"donor116.0",0.00183702818074511
"donor117.0",-0.00251465280844906
"donor118.0",-0.00751086202153708
"donor12.0",0.000472133285477449
"donor120.0",-1.56694151466188e-05
"donor121.0",-0.00548761172096245
"donor122.0",0.00606520470184188
"donor123.0",-0.00133096144793034
"donor124.0",-0.00138024142741609
"donor127.0",0.00164571239617778
"donor128.0",0.0109033219666439
"donor129.0",0.0145551502098342
"donor13.0",0.00535810769040938
"donor130.0",-0.00346997178758135
"donor131.0",-0.00035476130862588
"donor132.0",0.00382243440698478
"donor133.0",0.00934660221666038
"donor134.0",-0.0179904493854514
"donor135.0",0.00215289360242011
"donor137.0",0.00378633060721527
"donor139.0",-0.00182745904982683
"donor140.0",-0.00600982049923387
"donor142.0",-0.0071852213272379
"donor143.0",0.00383850200410794
"donor144.0",0.00497735169125229
"donor145.0",-0.0079669565620382
"donor146.0",-0.0249474586061175
"donor147.0",4.84639985182433e-05
"donor149.0",0.016546682666721
"donor15.0",-0.00361537355314571
"donor16.0",-0.00597489220363807
"donor17.0",-0.00841979060979358
"donor2.0",-0.0129511054616537
"donor20.0",-4.31322780124494e-05
"donor22.0",-0.00642143881517411
"donor23.0",-0.00994003073492484
"donor24.0",-0.0527614026810418
"donor25.0",0.00276235936139982
"donor26.0",0.00727278075990459
"donor27.0",0.0143383298155432
"donor28.0",-0.00300622225620344
"donor29.0",-0.00458152580719992
"donor30.0",0.134253781148144
"donor31.0",-0.00141609432899564
"donor32.0",0.000654199524788803
"donor33.0",0.00580001264541928
"donor36.0",-0.028549389038148
"donor37.0",-0.00779698032492259
"donor38.0",0.000548141222907959
"donor4.0",-0.000860496353604456
"donor40.0",0.00927112362435621
"donor41.0",-0.00211746031122156
"donor42.0",0.00679537785184821
"donor43.0",0.00513598922049096
"donor45.0",0.0117055695116996
"donor46.0",0.00578229532189403
"donor47.0",0.00125524250699443
"donor48.0",0.00523466072163731
"donor49.0",-0.00133482751306148
"donor5.0",0.00373519325981008
"donor50.0",0.00791011506096456
"donor51.0",-0.0145215563843994
"donor52.0",-0.00964434046819877
"donor55.0",-0.00389433812396477
"donor56.0",-0.00317545916264899
"donor57.0",0.000550160168545421
"donor59.0",-0.00480987416760439
"donor6.0",0.00209717291771404
"donor61.0",0.00776863583969198
"donor62.0",0.0144580450795943
"donor63.0",0.0430613968239385
"donor64.0",0.0125194140886992
"donor65.0",0.0115144634164274
"donor67.0",-0.0178887076655212
"donor68.0",0.00286631724020317
"donor69.0",-0.0129226315296873
"donor7.0",-0.0108093191874483
"donor70.0",0.00496439841462969
"donor71.0",0.00673893684118258
"donor72.0",-0.00504382748780759
"donor73.0",0.00311959920965678
"donor74.0",-0.0120878841399144
"donor77.0",0.00099580964405916
"donor78.0",-0.0036423236671806
"donor79.0",-0.000489168182996574
"donor8.0",-0.00670753588392244
"donor80.0",-0.00260226680765919
"donor81.0",0.00266121187850886
"donor83.0",-0.00477078921405509
"donor85.0",-0.0050054286954689
"donor86.0",0.00136837121456405
"donor87.0",0.00421186512475069
"donor89.0",-0.00987883501719454
"donor9.0",0.00340744459858437
"donor90.0",0.0102008957253454
"donor91.0",0.00587655151280344
"donor92.0",-0.00428307371920018
"donor93.0",0.00231655955118937
"donor95.0",0.00855222059648576
"donor96.0",0.0127925805059159
"donor97.0",0.00361954556254321
"donor98.0",-0.00318854095065033
"donor99.0",0.00630258733089822
