"weight","geometry_name"
0.0165787224802076,"donor1.0"
0.0052558800734991,"donor10.0"
0.019282256203997,"donor101.0"
0.000170312826737108,"donor102.0"
0.00188324498767682,"donor105.0"
-0.00648196533314379,"donor106.0"
0.00739220823142266,"donor107.0"
0.00256297665366908,"donor108.0"
-0.00265910001542274,"donor110.0"
0.0186082001942329,"donor111.0"
-0.00190757711267282,"donor112.0"
0.167958460176584,"donor113.0"
0.00299153017286544,"donor114.0"
-0.0257680646068229,"donor115.0"
0.0135628100922308,"donor116.0"
0.00249185347278794,"donor117.0"
0.00217089101329301,"donor118.0"
-0.0133453074573191,"donor12.0"
-0.0125443537563994,"donor120.0"
0.0148564728982451,"donor121.0"
-0.0057961428297065,"donor122.0"
-0.00156746672476017,"donor123.0"
0.00961595822644611,"donor124.0"
0.00658152748336044,"donor127.0"
0.0111929050833295,"donor128.0"
0.0171853257229152,"donor129.0"
-0.0150390773506276,"donor13.0"
0.00582976440197071,"donor130.0"
-0.000803882210530125,"donor131.0"
-0.0119080250278308,"donor132.0"
-0.0230115815079953,"donor133.0"
-0.0175339009599471,"donor134.0"
-0.0153525001059936,"donor135.0"
-0.00695353366321054,"donor137.0"
-0.00995518935664841,"donor139.0"
-0.00302552925386998,"donor140.0"
0.0143633944571202,"donor142.0"
0.00576616949344416,"donor143.0"
-0.011689516809476,"donor144.0"
-0.00390439896967707,"donor145.0"
0.0140175898082054,"donor146.0"
0.00195707669872483,"donor147.0"
0.0051945721493278,"donor149.0"
0.0134618323557048,"donor15.0"
-0.000244422998251415,"donor16.0"
-0.00395098234836695,"donor17.0"
-0.00215943136127283,"donor2.0"
-0.00466923997452318,"donor20.0"
0.000313799155328338,"donor22.0"
0.00277443584233838,"donor23.0"
-0.00416831510171836,"donor24.0"
-0.00957466576574301,"donor25.0"
0.0130620104824377,"donor26.0"
0.0105167447993594,"donor27.0"
-0.00269726073488483,"donor28.0"
-0.00826732527092238,"donor29.0"
-0.000651977239650032,"donor30.0"
-0.00359444980268896,"donor31.0"
0.00906216559568018,"donor32.0"
0.00824508329285313,"donor33.0"
0.0512830923799953,"donor36.0"
-0.00565599981057277,"donor37.0"
0.00262824123724563,"donor38.0"
-0.0110741560763539,"donor4.0"
-0.00576025488635934,"donor40.0"
-0.00312856848763699,"donor41.0"
-0.00993532827128867,"donor42.0"
0.0100467932620623,"donor43.0"
0.00567150680597044,"donor45.0"
-0.0185774761569534,"donor46.0"
-0.000826443319437825,"donor47.0"
-0.00535967084280324,"donor48.0"
1.68091667563108e-05,"donor49.0"
-0.00948876822081261,"donor5.0"
0.00452310255691005,"donor50.0"
0.577822771722289,"donor51.0"
-0.00254332568119412,"donor52.0"
-0.0021389450343746,"donor55.0"
0.0167568648444117,"donor56.0"
-0.00109930313908389,"donor57.0"
-0.00571619900767528,"donor59.0"
-0.00259243841946874,"donor6.0"
0.0133924693492573,"donor61.0"
0.00246829997692595,"donor62.0"
0.00409449109429343,"donor63.0"
-0.0044816234885542,"donor64.0"
-0.00281246450363665,"donor65.0"
0.00369686044755444,"donor67.0"
0.0027779349887764,"donor68.0"
0.0158708727776782,"donor69.0"
-0.0118520032585443,"donor7.0"
0.00486775513762443,"donor70.0"
0.0159888849259592,"donor71.0"
-0.00994155985357929,"donor72.0"
0.00117269664859746,"donor73.0"
-0.0133737080990641,"donor74.0"
0.00515380457448976,"donor77.0"
-0.0155369577254683,"donor78.0"
-0.00862768734700608,"donor79.0"
0.00585314854406178,"donor8.0"
0.0145667286362918,"donor80.0"
-0.00501973888326134,"donor81.0"
0.00408464622154705,"donor83.0"
0.0484372465772826,"donor85.0"
0.000532369537916565,"donor86.0"
0.0177484494246675,"donor87.0"
0.0181217831718729,"donor89.0"
0.0111098425802507,"donor9.0"
-0.00126882852451899,"donor90.0"
-0.0215643854232052,"donor91.0"
-0.032383506379627,"donor92.0"
0.00916175834943363,"donor93.0"
0.176539373698495,"donor95.0"
-0.00517082053403533,"donor96.0"
-0.0096731940640196,"donor97.0"
0.00208035798124284,"donor98.0"
-0.0165465920479244,"donor99.0"
