"geometry_name","ATT_SCMO"
"donor1.0",-0.00732449395829975
"donor2.0",-0.00484720200728697
"donor4.0",-0.00674980281173893
"donor5.0",-0.00791744464171686
"donor6.0",0.0067701069527857
"donor7.0",-0.0111016070889642
"donor8.0",-0.0194990064147749
"donor9.0",0.00152425706477461
"donor10.0",-0.0105003679973408
"donor12.0",-0.0110126734252601
"donor13.0",0.00585002763544391
"donor15.0",-0.00146189043575381
"donor16.0",-0.00619178171901394
"donor17.0",-0.0131370121741771
"donor20.0",-0.000798359301435419
"donor22.0",-0.00560244042297721
"donor23.0",-0.00926852321982669
"donor24.0",-0.00596450728090382
"donor25.0",0.00829375583191176
"donor26.0",0.0129934701521574
"donor27.0",0.00959340781724292
"donor28.0",-0.0110814762597613
"donor29.0",-0.00350641982172056
"donor30.0",0.130910560219459
"donor31.0",0.00692498008398101
"donor32.0",-0.0121623313138152
"donor33.0",0.00216663611362428
"donor35.0",-0.0110293407504682
"donor36.0",-0.0134714193711635
"donor37.0",-0.00845393849894483
"donor38.0",-0.00241058789929116
"donor40.0",0.0157747118649462
"donor41.0",-0.00364360808679194
"donor42.0",0.00779754423087881
"donor43.0",0.0182260899690576
"donor45.0",0.0157337460510425
"donor46.0",0.00901770602579984
"donor47.0",-0.00307130778554316
"donor48.0",0.0174473531570616
"donor49.0",-0.00531313958754144
"donor50.0",0.00713157482029206
"donor51.0",-0.0103349743208259
"donor52.0",-0.00351725091538693
"donor55.0",-0.00261711938786007
"donor56.0",-0.00858937167881358
"donor57.0",-0.00963414659528407
"donor59.0",-0.00208102940030528
"donor61.0",-0.00297968111434762
"donor62.0",0.0151598243307523
"donor63.0",0.0441391468520846
"donor64.0",0.0097243956370029
"donor65.0",-0.00256021791986493
"donor67.0",-0.0161076064157322
"donor68.0",0.0076743741281556
"donor69.0",-0.00432403237590214
"donor70.0",0.00885767245188532
"donor71.0",0.00306196533974061
"donor72.0",-0.0041791469187531
"donor73.0",-0.00611914573256411
"donor74.0",-0.00781987629505606
"donor77.0",-0.00122281019196656
"donor78.0",-0.000567727604695552
"donor79.0",0.000709418649092333
"donor80.0",-0.0126189569342669
"donor81.0",-0.00080196898199232
"donor83.0",-0.0241968650227528
"donor85.0",-0.00765108337314714
"donor86.0",-0.00672590609515545
"donor87.0",-0.00532573887534698
"donor89.0",-0.0160370036239086
"donor90.0",0.00567402691696814
"donor91.0",0.0034266823213575
"donor92.0",-0.00105705244714045
"donor93.0",-0.00377686753472721
"donor95.0",0.00469878289436848
"donor96.0",0.014801813433098
"donor97.0",-0.00245646432560429
"donor98.0",-0.017829980345458
"donor99.0",-0.00360909772567766
"donor101.0",0.00494188723092421
"donor102.0",0.000953324876878422
"donor105.0",0.0287397092166681
"donor106.0",-0.00368009732977791
"donor107.0",0.0037704534737516
"donor108.0",-0.0186468200889922
"donor110.0",-0.00180606918717154
"donor111.0",-0.00545877487007327
"donor112.0",-0.00149151932573603
"donor113.0",0.00245023316993064
"donor114.0",-0.0049064861905571
"donor115.0",-0.00468762893792441
"donor116.0",0.0028019467084838
"donor117.0",-0.00180278956707605
"donor118.0",-0.00671700333317943
"donor120.0",-0.00435110274831918
"donor121.0",-0.00680781838480311
"donor122.0",0.00531551747434067
"donor123.0",0.00398022759346704
"donor124.0",0.000152219155844379
"donor127.0",-0.0156271016251813
"donor128.0",0.0164828028557498
"donor129.0",0.0251578363005458
"donor130.0",-0.00868877488291659
"donor131.0",-0.00302417525805613
"donor132.0",0.00454107428486425
"donor133.0",-4.89775716994761e-05
"donor134.0",0.00715824373143537
"donor135.0",0.00120258947937791
"donor137.0",0.0109863551224756
"donor139.0",-0.00664647888265889
"donor140.0",-0.00825434649580674
"donor142.0",-0.00812681145135804
"donor143.0",0.00441242500462847
"donor144.0",0.0032300793503413
"donor145.0",-0.0107856571480294
"donor146.0",-0.02238357628655
"donor147.0",-0.00257535253520549
"donor149.0",0.0216501252896796
