"weight","geometry_name"
0.0969200426339435,"donor1.0"
-0.000331220496781698,"donor10.0"
0.0941784403599561,"donor101.0"
-4.4152005781533e-05,"donor102.0"
0.000256225058257655,"donor105.0"
-0.000172681763037619,"donor106.0"
3.96900327744882e-05,"donor107.0"
-0.000340356168504811,"donor108.0"
-4.08442929109072e-05,"donor110.0"
0.000233148166836992,"donor111.0"
-4.50222656568758e-05,"donor112.0"
0.000158145140704594,"donor113.0"
-3.31913846666609e-05,"donor114.0"
5.71641523872506e-05,"donor115.0"
0.000176611079680464,"donor116.0"
-7.24918950411738e-05,"donor117.0"
0.161807798634973,"donor118.0"
-5.95261184315038e-05,"donor12.0"
-2.0741980355852e-06,"donor120.0"
0.000150922166306836,"donor121.0"
-6.57759055204734e-05,"donor122.0"
0.000161289320687016,"donor123.0"
0.129493205636414,"donor124.0"
0.000164191933301386,"donor127.0"
0.000210951282957173,"donor128.0"
0.00015940491276287,"donor129.0"
-0.000198779758575768,"donor13.0"
0.000113201011527506,"donor130.0"
1.73578826497406e-05,"donor131.0"
0.000156407293782291,"donor132.0"
-0.000580526604365262,"donor133.0"
5.78296747481384e-05,"donor134.0"
-0.00024499381516188,"donor135.0"
-6.30235992564547e-05,"donor137.0"
4.49361688910802e-05,"donor139.0"
0.000115974308821271,"donor140.0"
0.000198595138273491,"donor142.0"
-1.05857731662666e-06,"donor143.0"
-0.000277696873279933,"donor144.0"
-2.46773609995415e-05,"donor145.0"
-6.29316210101928e-05,"donor146.0"
0.000164576180394282,"donor147.0"
0.0668646374715722,"donor149.0"
-9.79179004047745e-05,"donor15.0"
-2.77715647100322e-05,"donor16.0"
-0.000133630190564753,"donor17.0"
-0.000253969609620996,"donor2.0"
-3.1420621086647e-05,"donor20.0"
0.000177626579509023,"donor22.0"
-0.000239093078787785,"donor23.0"
0.00754567932994116,"donor24.0"
-0.000280904826124034,"donor25.0"
0.00024269020033027,"donor26.0"
-0.00014891052935692,"donor27.0"
-0.000188495804564773,"donor28.0"
0.000183467465867772,"donor29.0"
-0.000116868670883165,"donor30.0"
-0.000170125610379962,"donor31.0"
-1.11156677545239e-05,"donor32.0"
0.145512898874817,"donor33.0"
0.14129204022265,"donor36.0"
5.15269641590567e-05,"donor37.0"
7.41392722972632e-05,"donor38.0"
-9.76725985299478e-05,"donor4.0"
7.08148932132216e-06,"donor40.0"
-5.82148048162801e-05,"donor41.0"
4.52211480376007e-05,"donor42.0"
0.00276797987705199,"donor43.0"
0.000214721056898254,"donor45.0"
-0.000216967561653692,"donor46.0"
-6.75054546903775e-05,"donor47.0"
-0.000181530651414441,"donor48.0"
-0.000326842352312581,"donor49.0"
-0.000104036554803016,"donor5.0"
-0.000124870296454917,"donor50.0"
0.000180983523981471,"donor51.0"
2.73715659248629e-06,"donor52.0"
-0.000330560384651133,"donor55.0"
-8.07481332117136e-05,"donor56.0"
-2.84211771478616e-05,"donor57.0"
-0.000903878865467251,"donor59.0"
-7.79029939028033e-05,"donor6.0"
-0.000129527829586269,"donor61.0"
-0.000131935514994757,"donor62.0"
0.000189302855279047,"donor63.0"
-4.25005840328399e-05,"donor64.0"
-1.93264376838411e-05,"donor65.0"
0.0335589635649887,"donor67.0"
0.000215299992426513,"donor68.0"
0.000154540680000254,"donor69.0"
-0.000191281722582248,"donor7.0"
-2.25394905897585e-05,"donor70.0"
0.123163061225904,"donor71.0"
-0.000151400125331766,"donor72.0"
5.54525615399997e-05,"donor73.0"
-0.00025836855198032,"donor74.0"
0.000167581807532265,"donor77.0"
-0.000117823774338879,"donor78.0"
-7.04120764960132e-05,"donor79.0"
-0.000128910571574762,"donor8.0"
0.000190703020831573,"donor80.0"
1.08342153720334e-05,"donor81.0"
-7.14766206051272e-05,"donor83.0"
0.000177455643879421,"donor85.0"
4.80687937119402e-05,"donor86.0"
0.000356827082615889,"donor87.0"
-4.05678740354616e-05,"donor89.0"
-0.000143682834779953,"donor9.0"
-5.05340241686709e-05,"donor90.0"
-0.000304158952809029,"donor91.0"
-0.000168586919099026,"donor92.0"
-0.000166919398220267,"donor93.0"
0.00025714289717542,"donor95.0"
4.3034777032553e-05,"donor96.0"
0.00021335456827001,"donor97.0"
0.000216948493541624,"donor98.0"
-4.77570736274794e-05,"donor99.0"
